Latitude,Longitude,Kommune,Navn,Takster,Tilbudstyper,Pladser_på_tilbudstypen,Adresse,Kontaktperson,Pladser,Leder,Driftsherre,Virksomhedens_navn,Virksomhedsform,CVR,Tilsynsførende_myndighed,Årsomsætning,Soliditetsgrad,Overskud,Overskud_vs_omsætning,Løn_leder,Løn_personale,Løn_administration,Omkostninger_eksternt,Bestyrelseshonorarer,Løn_vs_omsætning,Omkostninger_til_kompetenceudvikling_vs_omsætning,Ejendomsomkostninger_vs_omsætning
56.953435,8.586546,Thisted Kommune,Aflastning Søskrænten (Bofællesskabet Søskrænten),Fra 2.250 - 2.250 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","4 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","Fredensvej 15
    

    7700 Thisted","Tina Tandrup

                trs@thisted.dk
                
                    Telefon: 99174115","Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1
    
    
        
            4 pladser -
            ingen ledige","Tina Tandrup
    

    trs@thisted.dk
    
        Telefon: 99174115",Tilbuddet selv,Thisted Kommune,Primærkommune,29189560,"EAN-nummer
    
        5790000381692",14.206.580 kr.,,-2.038.154 kr.,"-14,35 %",634.878 kr.,9.874.403 kr.,418.317 kr.,2.411.211 kr.,0 kr.,"97,97 %","0,9 %","7,1 %"
57.051709,9.913034,Aalborg Kommune,Badebo (Botilbuddet Helgolandsgade og Badebo),Fra 580 - 902 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","8 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","Badehusvej 4
    

    9000 Aalborg","Lone Hansen

                fagc-soc-psyk@aalborg.dk
                
                    Telefon: 25200404","Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1
    
    
        
            8 pladser -
            ingen ledige","Lone Hansen
    

    fagc-soc-psyk@aalborg.dk
    
        Telefon: 25200404",Tilbuddet selv,Aalborg Kommune,Primærkommune,29189420,"EAN-nummer
    
        5798003751702",2.864.554 kr.,,141.973 kr.,"4,96 %",85.680 kr.,2.091.874 kr.,0 kr.,0 kr.,0 kr.,"76,02 %","0,33 %","6,67 %"
57.279807,9.945333,Brønderslev Kommune,Bofællesskab Brandur Allé 11,Fra 1.548 - 1.548 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","8 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","Brandur Alle 11
    

    9700 Brønderslev","Camilla Holland

                CHOL@99454545.dk
                
                    Telefon: 99455295","Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1
    
    
        
            8 pladser -
            ingen ledige","Camilla Holland
    

    CHOL@99454545.dk
    
        Telefon: 99455295",Tilbuddet selv,Brønderslev Kommune,Primærkommune,29189501,"EAN-nummer
    
        5798003650579",9.358.250 kr.,,24.259 kr.,"0,26 %",345.202 kr.,6.300.524 kr.,160.984 kr.,938.589 kr.,0 kr.,"82,76 %","0,59 %","0,36 %"
,,,Bofællesskaberne i Rødovre,Fra 1.309 - 2.194 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","30 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","Slotsherrens Vænge 6, 1. 
    

    2610 Rødovre","Carsten Arontorp

                cn16444@rk.dk
                
                    Telefon: 36379310","Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1
    
    
        
            30 pladser -
            ingen ledige","Carsten Arontorp
    

    cn16444@rk.dk
    
        Telefon: 36379310",Tilbuddet selv,Rødovre Kommune,Primærkommune,65307316,"EAN-nummer
    
        5798001591515",25.512.965 kr.,,506.321 kr.,"1,98 %",798.274 kr.,18.171.325 kr.,570.015 kr.,36.560 kr.,0 kr.,"78,25 %","2,32 %","8,14 %"
56.803269,9.528557,Vesthimmerlands Kommune,Bofællesskabet Hobrovej,Fra 1.058 - 1.058 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","6 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","Hobrovej 1G
    

    9600 Aars","Maria Høgh

                mhog@vesthimmerland.dk
                
                    Telefon: 21289182","Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1
    
    
        

            
                6 pladser -
                Kontakt afdelingen om ledige pladser","Maria Høgh
    

    mhog@vesthimmerland.dk
    
        Telefon: 21289182",Tilbuddet selv,Vesthimmerlands Kommune,Primærkommune,29189471,"EAN-nummer
    
        5798004133057",,,,,,,,,,,,
56.192679,9.604309,Silkeborg Kommune,Bofællesskabet Narvikvej,Fra 494 - 494 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","7 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","Narvikvej 1
    

    8600 Silkeborg","Pernille Bech

                pernillevibjerg.bech@silkeborg.dk
                
                    Telefon: 21439078","Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1
    
    
        
            7 pladser -
            ingen ledige","Pernille Bech
    

    pernillevibjerg.bech@silkeborg.dk
    
        Telefon: 21439078",Tilbuddet selv,Silkeborg Kommune,Primærkommune,29189641,"EAN-nummer
    
        5798005639466",,,,,,,,,,,,
56.953435,8.586546,Thisted Kommune,Bofællesskabet Søskrænten,Fra 1.910 - 3.395 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","21 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","Fredensvej 15
    

    7700 Thisted","Tina Tandrup

                trs@thisted.dk
                
                    Telefon: 99174115","Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1
    
    
        
            21 pladser -
            ingen ledige
        
    

    
        
            Tilbudstypen omfatter skærmede pladser","Tina Tandrup
    

    trs@thisted.dk
    
        Telefon: 99174115",Tilbuddet selv,Thisted Kommune,Primærkommune,29189560,"EAN-nummer
    
        5790000381692",14.206.580 kr.,,-2.038.154 kr.,"-14,35 %",634.878 kr.,9.874.403 kr.,418.317 kr.,2.411.211 kr.,0 kr.,"97,97 %","0,9 %","7,1 %"
55.593672,11.864345,Lejre Kommune,Bofællesskabet Åbanken (Bofællesskaberne i Lejre kommune),Fra 1.056 - 1.056 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","4 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","Præstegårdsvej 3E
    

    4330 Hvalsø","Michael Preben Jørgensen

                mijo@lejre.dk
                
                    Telefon: 21787672","Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1
    
    
        

            
                4 pladser -
                Kontakt afdelingen om ledige pladser","Michael Preben Jørgensen
    

    mijo@lejre.dk
    
        Telefon: 21787672",Tilbuddet selv,Lejre Kommune,Primærkommune,29188548,"EAN-nummer
    
        5798008027130",7.203.583 kr.,,-69.258 kr.,"-0,96 %",169.755 kr.,4.739.549 kr.,391.760 kr.,465.906 kr.,0 kr.,"86,71 %","0,53 %","2,18 %"
,,,Borgergade (Bofællesskaberne i Fagcenter for Livskraft),Fra 576 - 1.543 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","9 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","Borgergade 39, st.  tv
    

    9000 Aalborg","Anne Marie Bøjer

                livskraft@aalborg.dk
                
                    Telefon: 99315660","Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1
    
    
        

            
                9 pladser -
                Kontakt afdelingen om ledige pladser
            
            
        
    

    

    
        
            Særlige forhold

            Lejlighederne er alle del af et opgangfællesskab med udgang til fælles opgang. I stuen findes fælles lejligheden som benyttes af alle borgere tilknyttet tilbuddet.","Anne Marie Bøjer
    

    livskraft@aalborg.dk
    
        Telefon: 99315660",Tilbuddet selv,Aalborg Kommune,Primærkommune,29189420,"EAN-nummer
    
        5798003747002",17.238.285 kr.,,68.689 kr.,"0,4 %",498.560 kr.,13.024.030 kr.,0 kr.,635.142 kr.,0 kr.,"84,63 %","1,33 %","2,47 %"
57.059374,9.919485,Aalborg Kommune,Botilbud Vestergade 22,Fra 993 - 1.638 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","5 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","Vestergade 18
    

    9400 Nørresundby","Morten Højgaard

                fagc-soc-psyk@aalborg.dk
                
                    Telefon: 31990089","Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1
    
    
        
            5 pladser -
            ingen ledige","Morten Højgaard
    

    fagc-soc-psyk@aalborg.dk
    
        Telefon: 31990089",Tilbuddet selv,Aalborg Kommune,Primærkommune,29189420,"EAN-nummer
    
        5798003748542",4.392.953 kr.,,-112.498 kr.,"-2,56 %",270.931 kr.,3.480.521 kr.,0 kr.,60.116 kr.,0 kr.,"86,77 %","0,68 %","4,75 %"
