Latitude,Longitude,Kommune,Navn,Takster,Tilbudstyper,Pladser_på_tilbudstypen,Adresse,Kontaktperson,Pladser,Leder,Driftsherre,Virksomhedens_navn,Virksomhedsform,CVR,Tilsynsførende_myndighed,Årsomsætning,Soliditetsgrad,Overskud,Overskud_vs_omsætning,Løn_leder,Løn_personale,Løn_administration,Omkostninger_eksternt,Bestyrelseshonorarer,Løn_vs_omsætning,Omkostninger_til_kompetenceudvikling_vs_omsætning,Ejendomsomkostninger_vs_omsætning
55.68897,11.045239,Kalundborg Kommune,Birkehuset - botilbud til unge voksne med synsnedsættelse og yderligere funktionsnedsættelse (Synscenter Refsnæs),Fra 1.824 - 4.179 kr.,"Botilbud til midlertidige ophold, § 107
            
        
            
                Aktivitets- og samværstilbud, § 104
            
        
            
                Botilbud målrettet unge mellem 18 og 35 år, §108a, jf. §108","2 - Botilbud til midlertidige ophold, § 107
                
            
                
                    8 - Aktivitets- og samværstilbud, § 104
                
            
                
                    6 - Botilbud målrettet unge mellem 18 og 35 år, §108a, jf. §108","Kystvejen 112A
    

    4400 Kalundborg","Susanne Tina Johansen

                sutj@regionsjaelland.dk
                
                    Telefon: 30459563","Botilbud målrettet unge mellem 18 og 35 år, §108a, jf. §108
    
    
        
            6 pladser -
            ingen ledige
        
    

    

    

            
                
    Aktivitets- og samværstilbud, § 104
    
    
        

            
                8 pladser -
                Kontakt afdelingen om ledige pladser
            
            
        
    

    

    
        
            Særlige forhold

            Individuelt aktivitetstilbud med fælles og individuelle aktiviteter, eksempelvis svømmehalsaktiviteter, ridning, cykle- og byture m.v.
        
    

            
                
    Botilbud til midlertidige ophold, § 107
    
    
        
            2 pladser -
            ingen ledige
        
    

    

    
        
            Særlige forhold

            Et tilbud til unge med et individuelt og synsfagligt fokus, også på aktiviteter og socialt samvær.","Susanne Tina Johansen
    

    sutj@regionsjaelland.dk
    
        Telefon: 30459563",Tilbuddet selv,Region Sjælland,Region,29190658,"EAN-nummer
    
        5798002004724",43.847.271 kr.,,1.746.470 kr.,"3,98 %",723.950 kr.,24.012.362 kr.,2.232.024 kr.,2.567.266 kr.,0 kr.,"70,14 %","0,57 %","5,17 %"
56.110877,8.998346,Herning Kommune,Heragården,"Fra 1.060,85 - 1.484,42 kr.","Botilbud til midlertidige ophold, § 107
            
        
            
                Botilbud målrettet unge mellem 18 og 35 år, §108a, jf. §108","13 - Botilbud til midlertidige ophold, § 107
                
            
                
                    1 - Botilbud målrettet unge mellem 18 og 35 år, §108a, jf. §108","Koustrup Alle 15B
    

    7400 Herning","Daniel Laugesen

                post@heragaarden.dk
                
                    Telefon: 96273100","Botilbud målrettet unge mellem 18 og 35 år, §108a, jf. §108
    
    
        

            
                1 pladser -
                Kontakt afdelingen om ledige pladser
            
            
        
    

    

    
        
            Særlige forhold

            Ophold på §107 og §108 a har samme service niveau
        
    

            
                
    Botilbud til midlertidige ophold, § 107
    
    
        

            
                13 pladser -
                Kontakt afdelingen om ledige pladser
            
            
        
    

    

    
        
            Særlige forhold

            Ophold på §107 og §108 a har samme service niveau","Daniel Laugesen
    

    post@heragaarden.dk
    
        Telefon: 96273100",Tilbuddet selv,Heragården,Øvrige virksomhedsformer,27040098,Socialtilsyn Midt,,,,,,,,,,,,
55.713915,12.571783,Københavns Kommune,Botilbud Thomas Laubs Gade 15 Vinklen CSBB,Fra 2.605 - 2.605 kr.,"Botilbud til midlertidige ophold, § 107
            
        
            
                Botilbud målrettet unge mellem 18 og 35 år, §108a, jf. §108","2 - Botilbud til midlertidige ophold, § 107
                
            
                
                    10 - Botilbud målrettet unge mellem 18 og 35 år, §108a, jf. §108","Thomas Laubs Gade 15
    

    2100 København Ø","Susanne Inger Wolfsberg

                hl72@kk.dk
                
                    Telefon: 26816667","Botilbud til midlertidige ophold, § 107
    
    
        
            2 pladser -
            ingen ledige
        
    

    

    

            
                
    Botilbud målrettet unge mellem 18 og 35 år, §108a, jf. §108
    
    
        
            10 pladser -
            ingen ledige","Susanne Inger Wolfsberg
    

    hl72@kk.dk
    
        Telefon: 26816667",Tilbuddet selv,Københavns Kommune,Primærkommune,64942212,"EAN-nummer
    
        5798009679581",,,,,,,,,,,,
57.206124,9.963594,Aalborg Kommune,NordCare,"Fra 2.575,8 - 2.575,8 kr.","Botilbud målrettet unge mellem 18 og 35 år, §108a, jf. §108
            
        
            
                Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
            
        
            
                Botilbud til midlertidige ophold, § 107","2 - Botilbud målrettet unge mellem 18 og 35 år, §108a, jf. §108
                
            
                
                    1 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
                
            
                
                    1 - Botilbud til midlertidige ophold, § 107","Tylstrup Landevej 86
    

    9382 Tylstrup","Morten Geisnæs

                morten@nordcare.dk
                
                    Telefon: 20663171","Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
    
    
        

            
                1 pladser -
                Kontakt afdelingen om ledige pladser
            
            
        
    

    

    
        
            Særlige forhold

            Taksterne er vejledende. Der beregnes altid tilbud, til den  konkrete borger.
        
    

            
                
    Botilbud målrettet unge mellem 18 og 35 år, §108a, jf. §108
    
    
        
            2 pladser -
            ingen ledige
        
    

    

    
        
            Særlige forhold

            Taksterne er vejledende. Der beregnes altid tilbud, til den  konkrete borger.
        
    

            
                
    Botilbud til midlertidige ophold, § 107
    
    
        

            
                1 pladser -
                Kontakt afdelingen om ledige pladser
            
            
        
    

    

    
        
            Særlige forhold

            Taksterne er vejledende. Der beregnes altid tilbud, til den  konkrete borger.","Morten Geisnæs
    

    morten@nordcare.dk
    
        Telefon: 20663171",Tilbuddet selv,Nord-Care ApS,Anpartsselskab,39567741,Socialtilsyn Midt,,,,,,,,,,,,
56.438024,9.393793,Viborg Kommune,Psykiatri - Bo- og træningstilbuddet Stokrosevej,Fra 1.702 - 3.249 kr.,"Botilbud målrettet unge mellem 18 og 35 år, §108a, jf. §108
            
        
            
                Børne- og ungehjem som døgninstitution, § 43, stk. 1, nr. 6, og stk. 3
            
        
            
                Botilbud til midlertidige ophold, § 107","1 - Botilbud målrettet unge mellem 18 og 35 år, §108a, jf. §108
                
            
                
                    2 - Børne- og ungehjem som døgninstitution, § 43, stk. 1, nr. 6, og stk. 3
                
            
                
                    13 - Botilbud til midlertidige ophold, § 107","Stokrosevej 2
    

    8800 Viborg","Gitte Jensen

                givn@viborg.dk
                
                    Telefon: 22124795","Børne- og ungehjem som døgninstitution, § 43, stk. 1, nr. 6, og stk. 3
    
    
        

            
                2 pladser -
                Kontakt afdelingen om ledige pladser
            
            
        
    

    

    

            
                
    Botilbud målrettet unge mellem 18 og 35 år, §108a, jf. §108
    
    
        
            1 pladser -
            ingen ledige
        
    

    

    

            
                
    Botilbud til midlertidige ophold, § 107
    
    
        

            
                13 pladser -
                Kontakt afdelingen om ledige pladser","Gitte Jensen
    

    givn@viborg.dk
    
        Telefon: 22124795",Tilbuddet selv,Viborg Kommune,Primærkommune,29189846,"EAN-nummer
    
        5798004556450",,,,,,,,,,,,
,,,Benediktsgade (Fonden Svennebjerggaard),"Fra 1.309,9 - 1.373,06 kr.","Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
            
        
            
                Botilbud målrettet unge mellem 18 og 35 år, §108a, jf. §108
            
        
            
                Botilbud til midlertidige ophold, § 107","1 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
                
            
                
                    1 - Botilbud målrettet unge mellem 18 og 35 år, §108a, jf. §108
                
            
                
                    5 - Botilbud til midlertidige ophold, § 107","Benediktsgade 44, 3.  92
    

    5000 Odense C","Finn Bang

                finn@svennebjerggaard.dk
                
                    Telefon: 20573859","Botilbud målrettet unge mellem 18 og 35 år, §108a, jf. §108
    
    
        

            
                1 pladser -
                Kontakt afdelingen om ledige pladser
            
            
        
    

    

    
        
            Særlige forhold

            Det er variabelt hvordan de 7 godkendte pladser kan fordeles mellem anbragte efter §66 ,§107 eller 108a.
        
    

            
                
    Botilbud til midlertidige ophold, § 107
    
    
        

            
                5 pladser -
                Kontakt afdelingen om ledige pladser
            
            
        
    

    

    
        
            Særlige forhold

            Det er variabelt hvordan de 7 godkendte pladser kan fordeles mellem anbragte efter §66 ,§107 eller 108a.
        
    

            
                
    Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
    
    
        

            
                1 pladser -
                Kontakt afdelingen om ledige pladser
            
            
        
    

    

    
        
            Særlige forhold

            Det er variabelt hvordan de 7 godkendte pladser kan fordeles mellem anbragte efter §66 ,§107 eller 108a.","Navnet er hemmeligt
    

    gunn@svennebjerggaard.dk
    
        Telefon: 27899616",Tilbuddet selv,Fonden Svennebjerggaard,Fonde og andre selvejende institutioner,26201446,Socialtilsyn Midt,23.891.170 kr.,"36,03 %",-1.539.687 kr.,"-6,44 %",730.364 kr.,13.232.289 kr.,844.398 kr.,271.835 kr.,81.004 kr.,"76,2 %","1,55 %","8,2 %"
55.898545,9.401488,Vejle Kommune,Træningslejlighederne (Tinnetgaard Bo-og Erhvervsskole),"Fra 0 - 958,03 kr.","Botilbud målrettet unge mellem 18 og 35 år, §108a, jf. §108
            
        
            
                Botilbudslignende tilbud, Lejebolig, Lejeloven
            
        
            
                Botilbud til midlertidige ophold, § 107","0 - Botilbud målrettet unge mellem 18 og 35 år, §108a, jf. §108
                
            
                
                    0 - Botilbudslignende tilbud, Lejebolig, Lejeloven
                
            
                
                    4 - Botilbud til midlertidige ophold, § 107","Hammervej 28
    

    7173 Vonge","Brian Hansen

                brian@tinnetgaard.dk
                
                    Telefon: 27522948","Botilbud målrettet unge mellem 18 og 35 år, §108a, jf. §108
    
    
        
            0 pladser -
            ingen ledige
        
    

    

    

            
                
    Botilbudslignende tilbud, Lejebolig, Lejeloven
    
    
        

            
                0 pladser -
                Kontakt afdelingen om ledige pladser
            
            
        
    

    

    
        
            Særlige forhold

            Socialpædagogisk støtte i egen bolig.
        
    

            
                
    Botilbud til midlertidige ophold, § 107
    
    
        
            4 pladser -
            ingen ledige","Lone Kaiser
    

    lone@tinnetgaard.dk
    
        Telefon: 25772132",Tinnetgaard Bo- og Erhvervsskole v/Lone Bindslev Kaiser,Tinnetgaard Bo- og Erhvervsskole ApS,Anpartsselskab,44506483,Socialtilsyn Syd,17.135.567 kr.,"19,6 %",116.542 kr.,"0,68 %",546.134 kr.,6.678.031 kr.,2.555.396 kr.,304.788 kr.,0 kr.,"61,65 %","0,7 %","12,2 %"
55.390744,10.263601,Odense Kommune,Bostedet Blommenslyst Tornmarksvej (Bostedet Blommenslyst),"Fra 1.604,45 - 1.604,45 kr.","Botilbud målrettet unge mellem 18 og 35 år, §108a, jf. §108
            
        
            
                Botilbud til midlertidige ophold, § 107","1 - Botilbud målrettet unge mellem 18 og 35 år, §108a, jf. §108
                
            
                
                    6 - Botilbud til midlertidige ophold, § 107","Tornmarksvej 94C
    

    5491 Blommenslyst","Finn Bang

                finn@bostedet-blommenslyst.dk
                
                    Telefon: 20573859","Botilbud målrettet unge mellem 18 og 35 år, §108a, jf. §108
    
    
        

            
                1 pladser -
                Kontakt afdelingen om ledige pladser
            
            
        
    

    

    

            
                
    Botilbud til midlertidige ophold, § 107
    
    
        

            
                6 pladser -
                Kontakt afdelingen om ledige pladser","Finn Bang
    

    finn@bostedet-blommenslyst.dk
    
        Telefon: 20573859",Tilbuddet selv,Socialfaglig Indsats Fyn ApS,Anpartsselskab,41682469,Socialtilsyn Midt,5.390.657 kr.,"23,04 %",351.243 kr.,"6,52 %",188.639 kr.,2.729.968 kr.,156.771 kr.,19.437 kr.,0 kr.,"66,64 %","1,42 %","8,77 %"
55.540061,8.538617,Esbjerg Kommune,Oksevænget 15 A-K (Ungdomspensionen Det Gamle Mejeri),"Fra 102,19 - 2.333,48 kr.","Botilbud målrettet unge mellem 18 og 35 år, §108a, jf. §108
            
        
            
                Botilbud til midlertidige ophold, § 107
            
        
            
                Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3","2 - Botilbud målrettet unge mellem 18 og 35 år, §108a, jf. §108
                
            
                
                    5 - Botilbud til midlertidige ophold, § 107
                
            
                
                    1 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3","Oksevænget 15E
    

    6715 Esbjerg N","Erik Nielsen

                Erik@dgm.nu
                
                    Telefon: 76104890","Botilbud til midlertidige ophold, § 107
    
    
        

            
                5 pladser -
                Kontakt afdelingen om ledige pladser
            
            
        
    

    

    
        
            Særlige forhold

            ne omhandler tillige adressen Hygumvej 5, Vester Nebel, 6715 Esbjerg N
        
    

            
                
    Botilbud målrettet unge mellem 18 og 35 år, §108a, jf. §108
    
    
        

            
                2 pladser -
                Kontakt afdelingen om ledige pladser
            
            
        
    

    

    
        
            Særlige forhold

            Indgår som et led i et helhedstilbud.
        
    

            
                
    Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
    
    
        

            
                1 pladser -
                Kontakt afdelingen om ledige pladser
            
            
        
    

    

    
        
            Særlige forhold

            ne omhandler tillige adressen Hygumvej 5, Vester Nebel, 6715 Esbjerg N","Erik Nielsen
    

    Erik@dgm.nu
    
        Telefon: 76104890",Tilbuddet selv,FONDEN UNGDOMSPENSIONEN DET GAMLE MEJERI,Fonde og andre selvejende institutioner,21578231,Socialtilsyn Midt,17.893.351 kr.,"57,7 %",1.608.426 kr.,"8,99 %",652.226 kr.,8.203.032 kr.,988.458 kr.,1.212.083 kr.,75.976 kr.,"64,24 %","0,55 %","11,56 %"
55.690453,11.839808,Lejre Kommune,Døgn Voksne (Specialskolen Bramsnæsvigs Døgn og Aflastningstilbud ApS),"Fra 4.892,6 - 5.875,61 kr.","Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
            
        
            
                Botilbud målrettet unge mellem 18 og 35 år, §108a, jf. §108
            
        
            
                Botilbud til midlertidige ophold, § 107","1 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
                
            
                
                    1 - Botilbud målrettet unge mellem 18 og 35 år, §108a, jf. §108
                
            
                
                    0 - Botilbud til midlertidige ophold, § 107","Bramsnæsvigvej 2
    

    4070 Kirke Hyllinge","Janni Jensen

                jj@bramsnaesvig.dk
                
                    Telefon: 61725126","Botilbud til midlertidige ophold, § 107
    
    
        

            
                0 pladser -
                Kontakt afdelingen om ledige pladser
            
            
        
    

    
        
            Tilbudstypen omfatter skærmede pladser
        
    

    

            
                
    Botilbud målrettet unge mellem 18 og 35 år, §108a, jf. §108
    
    
        
            1 pladser -
            ingen ledige
        
    

    
        
            Tilbudstypen omfatter skærmede pladser
        
    

    

            
                
    Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
    
    
        
            1 pladser -
            ingen ledige
        
    

    
        
            Tilbudstypen omfatter skærmede pladser","Pia Holm
    

    ph@bramsnaesvig.dk
    
        Telefon: 21482308",Tilbuddet selv,SPECIALSKOLEN BRAMSNÆSVIG'S DØGN OG AFLASTNINGSTILBUD ApS,Anpartsselskab,33781636,Socialtilsyn Øst,17.007.025 kr.,"30,5 %",319.672 kr.,"1,88 %",270.000 kr.,8.554.678 kr.,873.751 kr.,2.207.131 kr.,24.000 kr.,"77,36 %","0,8 %",8 %
