Adresse,Link,Type,Pris,Værelser,Boligstørrelse,Grundstørrelse,latitude,longitude,kommune
"Odensevej 31A,  5772 Kværndrup",https://www.boliga.dk/adresse/odensevej-31a-5772-kvaerndrup-1668429934,Helårsgrund,160.000 kr.,2.000 m²,Ejerudgift: 321 kr. / md.,,55.182823,10.523835,Faaborg-Midtfyn Kommune
"Bavnevej 10, Resen,  7470 Karup J",https://www.boliga.dk/adresse/bavnevej-10-7470-karup-j-182502075,Villa med 3 værelser,395.000 kr.,3,94 m²,1.559 m²,56.379177,9.089868,Viborg Kommune
"Haelskovvej 1,  9574 Bælum",https://www.boliga.dk/adresse/haelskovvej-1-9574-baelum-604893248,Villa med 6 værelser,1.100.000 kr.,6,220 m²,4.563 m²,56.834353,10.122343,Rebild Kommune
"Holbækvej 110, Sibberup,  4340 Tølløse",https://www.boliga.dk/adresse/holbaekvej-110-4340-toelloese-2024735805,Villa med 4 værelser,1.295.000 kr.,4,167 m²,3.639 m²,55.624654,11.600724,Holbæk Kommune
"Helsnedvej 13,  5932 Humble",https://www.boliga.dk/adresse/helsnedvej-13-5932-humble-253235039,Villa med 9 værelser,1.395.000 kr.,9,215 m²,3.685 m²,54.835016,10.683968,Langeland Kommune
"Hønebjergvej 17, Søby,  8543 Hornslet",https://www.boliga.dk/adresse/hoenebjergvej-17-8543-hornslet-1090314746,Landejendom med 7 værelser,1.550.000 kr.,7,200 m²,7.498 m²,56.35453,10.23966,Syddjurs Kommune
"Faaborgvej 252B, Dyrup,  5250 Odense SV",https://www.boliga.dk/adresse/faaborgvej-252b-5250-odense-sv-961640873,Villa med 4 værelser,1.995.000 kr.,4,115 m²,1.501 m²,55.357943,10.349362,Odense Kommune
"Hylledevej 1,  4640 Faxe",https://www.boliga.dk/adresse/hylledevej-1-4640-faxe-538179044,Villa med 5 værelser,1.995.000 kr.,5,218 m²,1.678 m²,55.213712,12.076513,Faxe Kommune
"Rosenvænget 11,  5540 Ullerslev",https://www.boliga.dk/adresse/rosenvaenget-11-5540-ullerslev-907470454,Villa med 7 værelser,2.195.000 kr.,7,206 m²,1.669 m²,55.361751,10.656313,Nyborg Kommune
"Ilskovvej 25,  7451 Sunds",https://www.boliga.dk/adresse/ilskovvej-25-7451-sunds-1687935384,Villa med 5 værelser,2.395.000 kr.,5,154 m²,7.633 m²,56.225573,9.063891,Herning Kommune
"Langelinie 21, Albæk,  9530 Støvring",https://www.boliga.dk/adresse/langelinie-21-9530-stoevring-603465044,Landejendom med 5 værelser,2.495.000 kr.,5,280 m²,19.152 m²,,,
"Klitrosevej 14, Tversted,  9881 Bindslev",https://www.boliga.dk/adresse/klitrosevej-14-9881-bindslev-716326158,Fritidshus med 5 værelser,2.495.000 kr.,5,93 m²,Ejerudgift: 2.048 kr. / md.,57.590127,10.194838,Hjørring Kommune
"Birkealle 15,  6950 Ringkøbing",https://www.boliga.dk/adresse/birkealle-15-6950-ringkoebing-282637600,Fritidshus med 4 værelser,2.595.000 kr.,4,120 m²,Ejerudgift: 1.893 kr. / md.,56.142576,8.149572,Ringkøbing-Skjern Kommune
"Feggesundvej 67,  7900 Nykøbing M",https://www.boliga.dk/adresse/feggesundvej-67-7900-nykoebing-m-1405809926,Villa med 6 værelser,2.650.000 kr.,6,178 m²,13.323 m²,56.948841,8.882778,Morsø Kommune
"Moldbjergvej 21, Tårup,  9240 Nibe",https://www.boliga.dk/adresse/moldbjergvej-21-9240-nibe-1274848268,Villa med 6 værelser,4.595.000 kr.,6,222 m²,15.336 m²,,,
"Kielsgaardsvej 20,  8680 Ry",https://www.boliga.dk/adresse/kielsgaardsvej-20-8680-ry-2132863943,Villa med 5 værelser,4.998.000 kr.,5,233 m²,6.747 m²,56.124805,9.796151,Skanderborg Kommune
"Reedtzholmvej 124, Enø,  4736 Karrebæksminde",https://www.boliga.dk/adresse/reedtzholmvej-124-4736-karrebaeksminde-1382779916,Fritidshus med 5 værelser,5.250.000 kr.,5,140 m²,Ejerudgift: 4.446 kr. / md.,55.176893,11.672534,Næstved Kommune
"Hårevej 55, Håre,  5591 Gelsted",https://www.boliga.dk/adresse/haarevej-55-5591-gelsted-2079287967,Landejendom med 11 værelser,5.250.000 kr.,11,398 m²,80.598 m²,,,
"Lundegårdsvej 14, Gørslev,  4100 Ringsted",https://www.boliga.dk/adresse/lundegaardsvej-14-4100-ringsted-1574667219,Villa med 5 værelser,5.695.000 kr.,5,120 m²,6.338 m²,55.435795,11.981935,Køge Kommune
"Savværksvej 6, Nødebo,  3480 Fredensborg",https://www.boliga.dk/adresse/savvaerksvej-6-3480-fredensborg-1216874844,Villa med 5 værelser,6.275.000 kr.,5,136 m²,2.440 m²,55.968873,12.348695,Hillerød Kommune
"Hammerholtvej 271, Hørmested,  9870 Sindal",https://www.boliga.dk/adresse/hammerholtvej-271-9870-sindal-2039170624,Landejendom med 7 værelser,7.500.000 kr.,7,352 m²,167.515 m²,,,
"Lyngsletten 31,  6857 Blåvand",https://www.boliga.dk/adresse/lyngsletten-31-6857-blaavand-1914434928,Fritidshus med 7 værelser,8.000.000 kr.,7,218 m²,Ejerudgift: 5.583 kr. / md.,55.553197,8.127965,Varde Kommune
"Elverbo 1, Øverød,  2840 Holte",https://www.boliga.dk/adresse/elverbo-1-2840-holte-1707699983,Villa med 6 værelser,10.995.000 kr.,6,198 m²,1.556 m²,55.826116,12.480606,Rudersdal Kommune
"Dølbyvej 140,  7800 Skive",https://www.boliga.dk/adresse/doelbyvej-140-7800-skive-1795708577,Villa med 5 værelser,15.500.000 kr.,5,268 m²,507.121 m²,56.588441,9.01437,Skive Kommune
"Hjortdalvej 147,  9690 Fjerritslev",https://www.boliga.dk/adresse/hjortdalvej-147-9690-fjerritslev-806386668,Helårsgrund,130.000 kr.,2.800 m²,Ejerudgift: 141 kr. / md.,,57.135473,9.35658,Jammerbugt Kommune
"Højagervej 1,  4913 Horslunde",https://www.boliga.dk/adresse/hoejagervej-1-4913-horslunde-121204666,Villa med 4 værelser,649.000 kr.,4,150 m²,2.200 m²,54.924049,11.19082,Lolland Kommune
"Langthjemvej 24,  9740 Jerslev J",https://www.boliga.dk/adresse/langthjemvej-24-9740-jerslev-j-1638621350,Villa med 4 værelser,740.000 kr.,4,128 m²,2.070 m²,57.26952,10.0766,Brønderslev Kommune
"Dybebjergvej 1,  7620 Lemvig",https://www.boliga.dk/adresse/dybebjergvej-1-7620-lemvig-178279818,Villa med 5 værelser,765.000 kr.,5,119 m²,1.898 m²,56.525371,8.208378,Lemvig Kommune
"Randerupvej 55,  6780 Skærbæk",https://www.boliga.dk/adresse/randerupvej-55-6780-skaerbaek-536966417,Villa med 7 værelser,1.295.000 kr.,7,350 m²,3.260 m²,55.121145,8.758873,Tønder Kommune
"Hedegårdsvej 5,  9362 Gandrup",https://www.boliga.dk/adresse/hedegaardsvej-5-9362-gandrup-1870702735,Villa med 4 værelser,1.295.000 kr.,4,163 m²,8.858 m²,57.068636,10.199429,Aalborg Kommune
"Valstedvej 23,  9240 Nibe",https://www.boliga.dk/adresse/valstedvej-23-9240-nibe-2113037715,Villa med 8 værelser,1.395.000 kr.,8,210 m²,2.429 m²,56.97635,9.563081,Aalborg Kommune
"Vejsmarkvej 29,  7870 Roslev",https://www.boliga.dk/adresse/vejsmarkvej-29-7870-roslev-50267172,Villa med 9 værelser,1.495.000 kr.,9,326 m²,6.797 m²,56.74076,9.102708,Skive Kommune
"Enebærvangen 4,  6840 Oksbøl",https://www.boliga.dk/adresse/enebaervangen-4-6840-oksboel-128544070,Fritidshus med 4 værelser,1.575.000 kr.,4,100 m²,Ejerudgift: 1.729 kr. / md.,55.672137,8.317542,Varde Kommune
"Åløbet 3, Ell Kohave,  4573 Højby",https://www.boliga.dk/adresse/aaloebet-3-4573-hoejby-286179485,Fritidshus med 5 værelser,1.795.000 kr.,5,94 m²,Ejerudgift: 1.929 kr. / md.,,,
"Øsby Søndergade 2,  6100 Haderslev",https://www.boliga.dk/adresse/oesby-soendergade-2-6100-haderslev-270952821,Villa med 7 værelser,1.795.000 kr.,7,198 m²,1.526 m²,55.252418,9.639879,Haderslev Kommune
"Tylstrupvej 62,  9382 Tylstrup",https://www.boliga.dk/adresse/tylstrupvej-62-9382-tylstrup-1492902624,Villa med 7 værelser,1.885.000 kr.,7,285 m²,1.981 m²,57.196895,9.958777,Aalborg Kommune
"Tjørnegærdet 9,  4171 Glumsø",https://www.boliga.dk/adresse/tjoernegaerdet-9-4171-glumsoe-1421445322,Villa med 6 værelser,2.195.000 kr.,6,222 m²,3.683 m²,55.375631,11.668149,Næstved Kommune
"Tøving Syd 5,  7950 Erslev",https://www.boliga.dk/adresse/toeving-syd-5-7950-erslev-1706946332?e=2229093,Villa med 5 værelser,2.295.000 kr.,5,180 m²,23.057 m²,56.842941,8.773245,Morsø Kommune
"Urup Kirkevej 24, Urup,  7200 Grindsted",https://www.boliga.dk/adresse/urup-kirkevej-24-7200-grindsted-647673506,Villa med 7 værelser,2.295.000 kr.,7,310 m²,39.992 m²,55.779187,8.795196,Billund Kommune
"Vorbassevej 14,  6622 Bække",https://www.boliga.dk/adresse/vorbassevej-14-6622-baekke-1087022323,Landejendom med 5 værelser,2.298.000 kr.,5,168 m²,51.575 m²,55.586285,9.116665,Vejen Kommune
"Fyrrevænget 47,  6857 Blåvand",https://www.boliga.dk/adresse/fyrrevaenget-47-6857-blaavand-664738296,Fritidshus med 3 værelser,2.398.000 kr.,3,102 m²,Ejerudgift: 3.599 kr. / md.,55.555428,8.215015,Varde Kommune
"Långawten 38A, Frausing,  8643 Ans By",https://www.boliga.dk/adresse/laangawten-38a-8643-ans-by-1768448623,Villa med 5 værelser,2.495.000 kr.,5,245 m²,4.260 m²,,,
"Løndalen 22,  9260 Gistrup",https://www.boliga.dk/adresse/loendalen-22-9260-gistrup-1592112094,Fritidshus med 6 værelser,2.695.000 kr.,6,147 m²,Ejerudgift: 1.561 kr. / md.,56.988769,9.991083,Aalborg Kommune
"Hallendrupvej 40,  8560 Kolind",https://www.boliga.dk/adresse/hallendrupvej-40-8560-kolind-1438890321,Landejendom med 10 værelser,2.800.000 kr.,10,282 m²,73.361 m²,56.342679,10.69123,Norddjurs Kommune
