Navn,Adresse,Latitude,Longitude,Status,Takster,Type,Pladser,Kapacitet,Kontaktperson,Email,Telefon
BHV (Dagtilbud Væksthuset),"Bodil Hjorths Vej 10
  

  9310 Vodskov",57.115018,10.020865,"Godkendt
  20-12-2024",400 - 933 kr.,"Aktivitets- og samværstilbud, § 104","14 - Aktivitets- og samværstilbud, § 104",ingen ledige,Jeanette Hurley,fagc-saerl-tilbud@aalborg.dk,20699802
"Centrumværkstedet (Autismecenter Syddanmark, Æblehaven, Holmehøj og Kirkevej)","Gestelevvej 14
  

  5750 Ringe",55.2385271,10.4616205,"Godkendt
  16-04-2025",508 - 2.280 kr.,"Aktivitets- og samværstilbud, § 104","18 - Aktivitets- og samværstilbud, § 104","18 pladser -
  Kontakt afdelingen om ledige pladser
  
  
  
  Heraf er 15 pladser forbeholdt beboere på botilbuddet",Anne-Mette Sørensen,amso@rsyd.dk,30324621
Dagtilbud Gefion (Dag- og Botilbud Gefion),"Karpevænget 1D
  

  3460 Birkerød",55.8508581,12.4558011,"Godkendt
  27-11-2024",836 - 4.065 kr.,"Aktivitets- og samværstilbud, § 104","32 - Aktivitets- og samværstilbud, § 104","32 pladser -
  Kontakt afdelingen om ledige pladser
  
  
  
  Heraf er 27 pladser forbeholdt beboere på botilbuddet",Mikkel Johansen,msjo@rudersdal.dk,72683444
Dagtilbud i hjemmet (Botilbuddet Solbakkevej),"Solbakkevej 20A
  

  8600 Silkeborg",56.1616447,9.5328504,"Godkendt
  25-04-2025",310 - 1.006 kr.,"Aktivitets- og samværstilbud, § 104","10 - Aktivitets- og samværstilbud, § 104","10 pladser -
  ingen ledige",Lene Havn,Lene.havn@silkeborg.dk,21561630
Dagtilbuddet 14 og 15'eren (Dagtilbuddet Spektrum),"Radisevej 12
  

  2300 København S",55.6486718,12.6078571,"Godkendt
  10-07-2023",2.399 - 2.498 kr.,"Aktivitets- og samværstilbud, § 104","16 - Aktivitets- og samværstilbud, § 104","16 pladser -
  ingen ledige",Mads Hansen,ek09@kk.dk,27641775
Dagtilbuddet Langhuset (Dagtilbuddet Spektrum),"Radisevej 12
  

  2300 København S",55.6486718,12.6078571,"Godkendt
  10-07-2023",1.045 - 1.045 kr.,"Aktivitets- og samværstilbud, § 104","10 - Aktivitets- og samværstilbud, § 104","10 pladser -
  ingen ledige",Mads Hansen,ek09@kk.dk,27641775
Hamlet,"Nørre Allé 30
  

  8000 Aarhus C",56.1603066,10.2066682,"Godkendt
  08-05-2015",,"Aktivitets- og samværstilbud, § 104","30 - Aktivitets- og samværstilbud, § 104","30 pladser -
  Kontakt afdelingen om ledige pladser",Helle Kristensen,kontakt@hamlet3-1.dk,28900819
Handicap specialiserede botilbud - Katrinehaven Aktivitetscenter,"Katrinehaven 1, st.  62
  

  8800 Viborg",56.4710166,9.3849808,"Godkendt
  26-11-2018",405 - 405 kr.,"Aktivitets- og samværstilbud, § 104","22 - Aktivitets- og samværstilbud, § 104","22 pladser -
  ingen ledige",Lilli Ane Urup,liu@viborg.dk,87877325
Individualisterne ApS,"Kalundborgvej 39B
  

  4200 Slagelse",55.4104119,11.3378255,"Godkendt
  16-03-2022","728,86 - 728,86 kr.","Aktivitets- og samværstilbud, § 104","10 - Aktivitets- og samværstilbud, § 104","10 pladser -
  Kontakt afdelingen om ledige pladser",Louise Dixen,admin@individualisterne.dk,27870801
"Kirkevej, Aktivitets- og samværstilbud (Autismecenter Syddanmark, Æblehaven, Holmehøj og Kirkevej)","Kirkevej 14A
  

  5772 Kværndrup",55.1746973,10.5342587,"Godkendt
  16-04-2025",939 - 1.918 kr.,"Aktivitets- og samværstilbud, § 104","20 - Aktivitets- og samværstilbud, § 104","20 pladser -
  ingen ledige",Anne-Mette Sørensen,amso@rsyd.dk,30324621
Kulturhuset (Enhed for handicap - § 104 Slagelse),"Rosenkildevej 85
  

  4200 Slagelse",55.4229964,11.3602117,"Godkendt
  27-02-2024",129 - 147 kr.,"Aktivitets- og samværstilbud, § 104","50 - Aktivitets- og samværstilbud, § 104","50 pladser -
  Kontakt afdelingen om ledige pladser",Inge Lindegaard Kristensen,ickri@slagelse.dk,21274280
