Adresse,Link,Type,Pris,Værelser,Boligstørrelse,Grundstørrelse,latitude,longitude
"Fjelstedvej 114,  9870 Sindal",https://www.boliga.dk/adresse/fjelstedvej-114-9870-sindal-812359011,Helårsgrund,125.830 kr.,15.170 m²,Ejerudgift: 0 kr. / md.,,57.47429,10.150525
"Blåbærvej 18,  9600 Aars",https://www.boliga.dk/adresse/blaabaervej-18-9600-aars-56691179,Fritidsgrund,195.000 kr.,3.680 m²,Ejerudgift: 133 kr. / md.,,56.867478,9.406567
"Sallingevej 8,  5672 Broby",https://www.boliga.dk/adresse/sallingevej-8-5672-broby-483554519,Villa med 5 værelser,395.000 kr.,5,118 m²,4.000 m²,55.241153,10.30873
"Rudbjergvej 5,  4983 Dannemare",https://www.boliga.dk/adresse/rudbjergvej-5-4983-dannemare-276391898,Villa med 5 værelser,444.000 kr.,5,124 m²,2.335 m²,54.758138,11.162121
"Kystvej 220, Dokkedal,  9280 Storvorde",https://www.boliga.dk/adresse/kystvej-220-9280-storvorde-1876578562,Landejendom med 4 værelser,495.000 kr.,4,120 m²,33.500 m²,,
"Vestergade 27,  6690 Gørding",https://www.boliga.dk/adresse/vestergade-27-6690-goerding-929929416,Villa med 5 værelser,498.000 kr.,5,110 m²,2.347 m²,55.469094,8.788435
"Suså Landevej 68, Herluflille,  4160 Herlufmagle",https://www.boliga.dk/adresse/susaa-landevej-68-4160-herlufmagle-1315474405,Landejendom med 4 værelser,595.000 kr.,4,110 m²,30.337 m²,,
"Klynevej 18, Snogebæk,  3730 Nexø",https://www.boliga.dk/adresse/klynevej-18-3730-nexoe-1946242800,Fritidshus med 3 værelser,650.000 kr.,3,25 m²,14.600 m²,55.029707,15.109212
"Sommerland 93, Odde,  9560 Hadsund",https://www.boliga.dk/adresse/sommerland-93-9560-hadsund-415137599,Fritidshus med 4 værelser,660.000 kr.,4,57 m²,2.970 m²,56.71187,10.318683
"Sandenvej 17, Lyngså,  9300 Sæby",https://www.boliga.dk/adresse/sandenvej-17-9300-saeby-947091652,Fritidshus med 3 værelser,665.000 kr.,3,48 m²,5.005 m²,,
"Stenmaglevej 27, Stenmagle,  4295 Stenlille",https://www.boliga.dk/adresse/stenmaglevej-27-4295-stenlille-2019662544,Villa med 5 værelser,795.000 kr.,5,130 m²,1.608 m²,55.555707,11.617706
"Bonnesigvej 33, Resen,  7600 Struer",https://www.boliga.dk/adresse/bonnesigvej-33-7600-struer-319404400,Villa med 5 værelser,795.000 kr.,5,170 m²,5.048 m²,,
"Følvigvej 56, Vile,  7870 Roslev",https://www.boliga.dk/adresse/foelvigvej-56-7870-roslev-952766386,Fritidshus med 4 værelser,845.000 kr.,4,80 m²,3.487 m²,56.710244,8.875358
"Kronborgvej 33, Dalbyover,  8970 Havndal",https://www.boliga.dk/adresse/kronborgvej-33-8970-havndal-339970955,Villa med 6 værelser,850.000 kr.,6,176 m²,1.718 m²,56.618367,10.20318
"Granlunden 5,  6840 Oksbøl",https://www.boliga.dk/adresse/granlunden-5-6840-oksboel-1272635197,Fritidshus med 4 værelser,885.000 kr.,4,79 m²,1.616 m²,55.664923,8.310141
"Fårupvej 15, Nørbæk,  8990 Fårup",https://www.boliga.dk/adresse/faarupvej-15-8990-faarup-41203121,Villa med 4 værelser,895.000 kr.,4,142 m²,1.533 m²,56.539772,9.824897
"Brønderslevvej 250,  9750 Østervrå",https://www.boliga.dk/adresse/broenderslevvej-250-9750-oestervraa-1394012011,Villa med 6 værelser,925.000 kr.,6,154 m²,11.197 m²,57.352766,10.277346
"Langgade 27, Donslund,  7250 Hejnsvig",https://www.boliga.dk/adresse/langgade-27-7250-hejnsvig-509252778,Villa med 4 værelser,925.000 kr.,4,181 m²,1.770 m²,55.650669,8.952456
"Hobro Landevej 131, Nr Vinge,  8830 Tjele",https://www.boliga.dk/adresse/hobro-landevej-131-8830-tjele-584805631,Villa med 4 værelser,945.000 kr.,4,204 m²,2.155 m²,,
"Ærtebjergvej 3, Voldby Mark,  5500 Middelfart",https://www.boliga.dk/adresse/aertebjergvej-3-5500-middelfart-1737872270,Villa med 6 værelser,995.000 kr.,6,124 m²,15.408 m²,,
"Tejnvej 108F, Sandkås,  3770 Allinge",https://www.boliga.dk/adresse/tejnvej-108f-3770-allinge-1505098993,Fritidshus med 2 værelser,1.095.000 kr.,2,37 m²,30.600 m²,55.251844,14.819715
"Røgildvej 18, Arentsminde,  9460 Brovst",https://www.boliga.dk/adresse/roegildvej-18-9460-brovst-831395552,Villa med 6 værelser,1.195.000 kr.,6,239 m²,19.985 m²,57.123143,9.629623
"Lyngvejen 2, Sædding,  6900 Skjern",https://www.boliga.dk/adresse/lyngvejen-2-6900-skjern-626144137,Villa med 5 værelser,1.295.000 kr.,5,177 m²,24.431 m²,56.025564,8.561414
"Rytterskoven 8,  5700 Svendborg",https://www.boliga.dk/adresse/rytterskoven-8-5700-svendborg-1351612471,Villa med 3 værelser,1.295.000 kr.,3,92 m²,4.000 m²,55.067753,10.570074
"Solbakken 10, Pindstrup,  8550 Ryomgård",https://www.boliga.dk/adresse/solbakken-10-8550-ryomgaard-348551040?e=2218853,Villa med 4 værelser,1.349.000 kr.,4,113 m²,1.593 m²,56.393685,10.413171
