Navn,Adresse,Status,Takster,Type,Pladser,Kapacitet,Kontaktperson,Email,Telefon,Årsomsætning,Overskud,Lønomkostninger_Administrativt,Lønomkostninger_Personale,Omkostninger_til_ikke_fastansat_personale,Soliditetsgrad,Procentmæssigt_overskud_i_forhold_til_omsætningen,Samlede_lønomkostninger_i_forhold_til_omsætningen,Ejendomsomkostninger_i_forhold_til_omsætningen,Personalegennemstrømningen_på_tilbuddet,latitude,longitude
PKC - Aalborgvej (PKC - Pædagogisk Kompetence Center ApS),"Aalborgvej 10
    

    9280 Storvorde","Godkendt
        07-01-2025","3.833,17 - 3.833,17 kr.","Botilbud til midlertidige ophold, § 107
            
        
            
                Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3","1 - Botilbud til midlertidige ophold, § 107
                
            
                
                    3 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3","3 pladser -
                Kontakt afdelingen om ledige pladser",Henning Ludvigsen,pkc@pkc-aalborg.dk,60407041,8.354.445 kr.,-175.443 kr.,551.566 kr.,4.056.028 kr.,231.358 kr.,"47,36 %","-2,1 %","75,31 %","5,29 %","31,25 %",56.968777,10.220502
PKC - Pædagogisk Kompetence Center ApS,"Aalborgvej 32
    

    9280 Storvorde","Godkendt
        07-01-2025","3.833,17 - 3.833,17 kr.","Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
            
        
            
                Botilbud til midlertidige ophold, § 107","3 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
                
            
                
                    1 - Botilbud til midlertidige ophold, § 107","1 pladser -
            ingen ledige",Henning Ludvigsen,pkc@pkc-aalborg.dk,60407041,8.354.445 kr.,-175.443 kr.,551.566 kr.,4.056.028 kr.,231.358 kr.,"47,36 %","-2,1 %","75,31 %","5,29 %","31,25 %",56.969738,10.217527
Bostedet Hanbohus,"Aalborgvej 33A 1
    

    9460 Brovst","Godkendt
        17-12-2024","1.833,59 - 1.833,59 kr.","Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
            
        
            
                Botilbud til midlertidige ophold, § 107","1 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
                
            
                
                    6 - Botilbud til midlertidige ophold, § 107","6 pladser -
                Kontakt afdelingen om ledige pladser",Susanne Lykke Petersen,susanne@nbu-center.dk,20671665,,,,,,,,,,,,
"Askovhus - Behandling af spiseforstyrrelse, personlighedsforstyrrelse og selvskade","Åboulevard 40
    

    2200 København N","Godkendt
        31-01-2025","1.686,67 - 6.493,4 kr.","Aktivitets- og samværstilbud, § 104
            
        
            
                Botilbud til midlertidige ophold, § 107","29 - Aktivitets- og samværstilbud, § 104
                
            
                
                    26 - Botilbud til midlertidige ophold, § 107","29 pladser -
                Kontakt afdelingen om ledige pladser
            
            
                
                    Heraf er 26 pladser forbeholdt beboere på botilbuddet",Line Sidenius,lks@askovhus.dk,35301745,,,,,,,,,,,55.684985,12.554076
Adelers Allé (PS Contact ApS),"Adelers Alle 160
    

    4540 Fårevejle","Godkendt
        02-04-2025","6.087,56 - 6.087,56 kr.","Botilbud til midlertidige ophold, § 107","3 - Botilbud til midlertidige ophold, § 107","3 pladser -
            ingen ledige",Marie-Louise Sjørslev,louise@pscontact.dk,29275514,42.125.448 kr.,2.854.511 kr.,2.183.161 kr.,21.081.910 kr.,2.491.585 kr.,18 %,"6,78 %","72,42 %","6,01 %",18 %,55.784041,11.4695
"Trancit Botilbud, Frisenborg Alle","Adelgade 106
    

    8660 Skanderborg","Godkendt
        28-03-2025","9.889,16 - 11.643,57 kr.","Botilbud til længerevarende ophold, § 108
            
        
            
                Botilbud til midlertidige ophold, § 107","1 - Botilbud til længerevarende ophold, § 108
                
            
                
                    1 - Botilbud til midlertidige ophold, § 107","1 pladser -
                Kontakt afdelingen om ledige pladser",Mikkel Buck,mikkel@trancit.dk,25949462,,,,,,,,,,,56.035882,9.931307
Æblevej 1,"Æblevej 1
    

    6240 Løgumkloster","Godkendt
        01-10-2024",1.944 - 3.508 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","12 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","12 pladser -
            ingen ledige",Marianne Styrk,mst@toender.dk,29432494,,,,,,,,,,,55.083426,8.935538
Æblevej 2,"Æblevej 2
    

    6240 Løgumkloster","Godkendt
        22-01-2025",2.035 - 3.599 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","12 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","12 pladser -
                Kontakt afdelingen om ledige pladser",Marianne Styrk,mst@toender.dk,29432494,,,,,,,,,,,55.083293,8.936084
Æblegården (Hjertehusene ApS),"Æblevej 21
    

    5853 Ørbæk","Godkendt
        02-12-2024","4.274,49 - 6.964,2 kr.","Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
            
        
            
                Botilbud til midlertidige ophold, § 107","5 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
                
            
                
                    5 - Botilbud til midlertidige ophold, § 107","5 pladser -
                Kontakt afdelingen om ledige pladser",Lene Møllegaard,lene@hjertehusene.dk,4524851072,15.901.920 kr.,643.845 kr.,203.028 kr.,9.629.975 kr.,1.793.639 kr.,"9,04 %","4,05 %","82,43 %","4,6 %",33 %,55.275486,10.69957
Team 6 - 8 (Ærtekildevej 10) (Bofællesskaberne Inge og Sofie Marie),"Ærtekildevej 10
    

    4100 Ringsted","Godkendt
        03-09-2024","1.631,34 - 2.660,71 kr.","Botilbud til midlertidige ophold, § 107
            
        
            
                Botilbud til længerevarende ophold, § 108","19 - Botilbud til midlertidige ophold, § 107
                
            
                
                    7 - Botilbud til længerevarende ophold, § 108","19 pladser -
                Kontakt afdelingen om ledige pladser",Rikke Christensen,ric@mariehjem.dk,57670750,55.917.481 kr.,1.089.469 kr.,1.503.100 kr.,33.304.176 kr.,4.379.593 kr.,-12 %,"1,95 %","79,91 %","6,2 %","5,1 %",55.449732,11.793296
Afdeling Agertoften (Fonden Føniks),"Agertoften 8
    

    9330 Dronninglund","Godkendt
        30-04-2024","3.034,67 - 3.034,67 kr.","Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
            
        
            
                Botilbud til midlertidige ophold, § 107","11 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
                
            
                
                    1 - Botilbud til midlertidige ophold, § 107","11 pladser -
                Kontakt afdelingen om ledige pladser",Katja Andreasen,katja@fonden-foeniks.dk,28934755,35.886.000 kr.,-1.200.000 kr.,1.786.000 kr.,16.071.000 kr.,3.779.000 kr.,"27,2 %","-3,34 %","73,37 %","11,9 %","12,5 %",57.247973,10.285431
SØNDBJERGGÅRD,"Aggerholmsvej 19
    

    7790 Thyholm","Godkendt
        02-05-2025","719,32 - 1.400,47 kr.","Beskyttet beskæftigelsestilbud, § 103
            
        
            
                Aktivitets- og samværstilbud, § 104
            
        
            
                Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
            
        
            
                Botilbud til midlertidige ophold, § 107","2 - Beskyttet beskæftigelsestilbud, § 103
                
            
                
                    2 - Aktivitets- og samværstilbud, § 104
                
            
                
                    2 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
                
            
                
                    15 - Botilbud til midlertidige ophold, § 107","2 pladser -
                Kontakt afdelingen om ledige pladser",Mads Holm,stu@soendbjerggaard.dk,97875011,,,,,,,,,,,56.621332,8.570894
Fonden Den selvejede institution Nørreheden,"Ajstrup Nørrehede 24
    

    9381 Sulsted","Godkendt med vilkår
        12-01-2025","2.606,33 - 2.606,33 kr.","Botilbud til midlertidige ophold, § 107
            
        
            
                Botilbud til længerevarende ophold, § 108","5 - Botilbud til midlertidige ophold, § 107
                
            
                
                    4 - Botilbud til længerevarende ophold, § 108","5 pladser -
                Kontakt afdelingen om ledige pladser",Søren Wiwe,norreheden@norreheden.dk,21907936,,,,,,,,,,,57.170016,10.0089
Hava Nord,"Ålbækvej 17
    

    4174 Jystrup Midtsj","Godkendt
        28-02-2025","3.305,61 - 3.986,77 kr.","Botilbud til midlertidige ophold, § 107","8 - Botilbud til midlertidige ophold, § 107","8 pladser -
                Kontakt afdelingen om ledige pladser",Tomasz Zilberberg,tz@havanord.dk,31548806,,,,,,,,,,,55.512633,11.863235
Skovbo (Fonden Landbo),"Ålborgvej 78
    

    9560 Hadsund","Godkendt
        21-03-2025","3.063,29 - 3.063,29 kr.","Botilbud til midlertidige ophold, § 107","2 - Botilbud til midlertidige ophold, § 107","2 pladser -
            ingen ledige",Myrna Christensen,landbo@landbo.nu,96520702,36.268.198 kr.,1.728.006 kr.,2.862.875 kr.,19.280.713 kr.,3.243.985 kr.,53 %,"4,76 %","76,02 %",6 %,9 %,56.747259,10.104256
