Navn,Adresse,Status,Takster,Type,Pladser,Kapacitet,Kontaktperson,Email,Telefon,Årsomsætning,Overskud,Lønomkostninger_Administrativt,Lønomkostninger_Personale,Omkostninger_til_ikke_fastansat_personale,Soliditetsgrad,Procentmæssigt_overskud_i_forhold_til_omsætningen,Samlede_lønomkostninger_i_forhold_til_omsætningen,Ejendomsomkostninger_i_forhold_til_omsætningen,Personalegennemstrømningen_på_tilbuddet,Virksomhedsform,CVR,Virksomhedens_navn,Tilsynsførende_myndighed,Driftsherre,latitude,longitude,kommune
Aktivitets- og samværstilbuddet Vongshøj,"Nørregade 30
    

    6240 Løgumkloster","Godkendt
        02-07-2019",286 - 572 kr.,"Aktivitets- og samværstilbud, § 104","24 - Aktivitets- og samværstilbud, § 104","24 pladser -
                Kontakt afdelingen om ledige pladser",Marianne Styrk,mst@toender.dk,29432494,,,,,,,,,,,Primærkommune,29189781,Tønder Kommune,5798005031017,Tilbuddet selv,55.083821,8.93383,Tønder Kommune
Café Smilet,"Vorregårds alle 115, Kl.. 
    

    8260 Aarhus N","Godkendt
        12-03-2015",,"Aktivitets- og samværstilbud, § 104","30 - Aktivitets- og samværstilbud, § 104","30 pladser -
                Kontakt afdelingen om ledige pladser",Henrik Autzen,Haut@stofanet.dk,51908700,,,,,,,,,,,Forening,30968301,Boligkontoret Århus,Aarhus Kommune,,,,
Center for Socialpsykiatri  - Værestedet Teglgården,"Maribovej 119
    

    4900 Nakskov","Godkendt
        19-02-2016",243 - 243 kr.,"Aktivitets- og samværstilbud, § 104","30 - Aktivitets- og samværstilbud, § 104","30 pladser -
            ingen ledige",Michael Christensen,mich@lolland.dk,29609570,,,,,,,,,,,Primærkommune,29188572,Lolland Kommune,5798007108052,Tilbuddet selv,54.832812,11.161118,Lolland Kommune
Dagsaktiviteten Fælleshåb,"Bogensevej 123
    

    5500 Middelfart","Godkendt
        02-06-2021",471 - 786 kr.,"Aktivitets- og samværstilbud, § 104","40 - Aktivitets- og samværstilbud, § 104","40 pladser -
                Kontakt afdelingen om ledige pladser",Martin Østergaard,Martin.ostergaard@middelfart.dk,24674664,,,,,,,,,,,Primærkommune,29189684,Middelfart Kommune,5798006504435,Tilbuddet selv,55.499702,9.85725,Middelfart Kommune
Dagtilbuddet Basen i Rødbo,"Klausdalsbrovej 621C
    

    2750 Ballerup","Godkendt
        12-04-2019",,"Aktivitets- og samværstilbud, § 104","12 - Aktivitets- og samværstilbud, § 104","12 pladser -
            ingen ledige",Marianne Sinding,msi@balk.dk,44776162,,,,,,,,,,,Primærkommune,58271713,Ballerup Kommune,Ballerup Kommune,Tilbuddet selv,55.736427,12.40177,Ballerup Kommune
Dalhuset (Center for Social Rehabilitering),"Vesterbrogade 13
    

    7100 Vejle","Godkendt
        09-02-2018",,"Aktivitets- og samværstilbud, § 104","7 - Aktivitets- og samværstilbud, § 104","7 pladser -
            ingen ledige",Peter Saaby,petsa@vejle.dk,23383450,,,,,,,,,,,Primærkommune,29189900,Vejle Kommune,Vejle Kommune,Tilbuddet selv,55.714396,9.534423,Vejle Kommune
Det grønlandske værested Naapiffik (Kirkens Korshær Aarhus),"Kalkværksvej 2
    

    8000 Aarhus C","Godkendt
        08-05-2015",0 - 0 kr.,"Aktivitets- og samværstilbud, § 104","50 - Aktivitets- og samværstilbud, § 104","50 pladser -
            ingen ledige",Mads Andersen,m.andersen@kirkenskorshaer.dk,25663523,,,,,,,,,,,Forening,15537728,KIRKENS KORSHÆR,5790002395314,Tilbuddet selv,56.148136,10.21164,Aarhus Kommune
Fritids- og Ungdomsklubben LAVUK §104 (Fritids- og Ungdomsklubben LAVUK),"Borgervænget 19
    

    2100 København Ø","Godkendt
        14-10-2024","447,56 - 907,11 kr.","Aktivitets- og samværstilbud, § 104","50 - Aktivitets- og samværstilbud, § 104","50 pladser -
                Kontakt afdelingen om ledige pladser",Thomas Laurits Hinsby,hinsby@lavuk.dk,39184211,,,,,,,,,,,Forening,25625013,Lavuk,Københavns Kommune,Tilbuddet selv,55.716362,12.562742,Københavns Kommune
Handikapcentret Tarup Gl. Præstegård,"Præstegårdsvænget 51
    

    5210 Odense NV","Godkendt
        04-12-2014","343,44 - 514,21 kr.","Aktivitets- og samværstilbud, § 104","54 - Aktivitets- og samværstilbud, § 104","54 pladser -
                Kontakt afdelingen om ledige pladser",Bodil Mærsk,bomk@odense.dk,63756070,,,,,,,,,,,Øvrige virksomhedsformer,10764211,Handikapcentret Tarup Gamle Præstegård,5790002501166,Tilbuddet selv,55.410706,10.3521,Odense Kommune
Kreateam 2 (NorGro),"Kildevej 3B
    

    3200 Helsinge","Godkendt
        04-11-2024","930,15 - 2.694,69 kr.","Aktivitets- og samværstilbud, § 104","2 - Aktivitets- og samværstilbud, § 104","2 pladser -
                Kontakt afdelingen om ledige pladser",Monica Rosenville Larsen,mr@norgro.dk,27510498,,,,,,,,,,,Anpartsselskab,43347160,NorGro ApS,Gribskov Kommune,Tilbuddet selv,56.004949,12.237487,Gribskov Kommune
