Gennemsnitlig udgift pr. voksen autist ved brug af botilbud,2018,2019,2020,2021,2022,Velfærdsområde,Sektor
Botilbud i alt,2.052.944.00 kr.,2.031.971.00 kr.,2.029.588.00 kr.,2.028.697.00 kr.,2.052.253.00 kr.,I alt,I alt
Botilbud i alt,126.952.00 kr.,126.214.00 kr.,126.414.00 kr.,123.137.00 kr.,123.280.00 kr.,Beskæftigelsesområd,Kommune
Botilbud i alt,0.00 kr.,0.00 kr.,0.00 kr.,0.00 kr.,0.00 kr.,Beskæftigelsesområd,Region
Botilbud i alt,64.954.00 kr.,65.638.00 kr.,67.130.00 kr.,66.032.00 kr.,66.622.00 kr.,Beskæftigelsesområd,Stat
Botilbud i alt,191.906.00 kr.,191.852.00 kr.,193.544.00 kr.,189.169.00 kr.,189.903.00 kr.,Beskæftigelsesområd,I alt
Botilbud i alt,814.160.00 kr.,806.847.00 kr.,806.550.00 kr.,806.813.00 kr.,817.125.00 kr.,Socialområdet,Kommune
Botilbud i alt,0.00 kr.,0.00 kr.,0.00 kr.,0.00 kr.,0.00 kr.,Socialområdet,Region
Botilbud i alt,91.710.00 kr.,90.647.00 kr.,90.678.00 kr.,91.358.00 kr.,92.872.00 kr.,Socialområdet,Stat
Botilbud i alt,905.870.00 kr.,897.494.00 kr.,897.228.00 kr.,898.171.00 kr.,909.997.00 kr.,Socialområdet,I alt
Botilbud i alt,15.450.00 kr.,14.338.00 kr.,12.423.00 kr.,13.125.00 kr.,13.080.00 kr.,Sundhedsområdet,Kommune
Botilbud i alt,30.689.00 kr.,28.010.00 kr.,25.801.00 kr.,26.846.00 kr.,26.177.00 kr.,Sundhedsområdet,Region
Botilbud i alt,0.00 kr.,0.00 kr.,0.00 kr.,0.00 kr.,0.00 kr.,Sundhedsområdet,Stat
Botilbud i alt,46.139.00 kr.,42.347.00 kr.,38.223.00 kr.,39.970.00 kr.,39.257.00 kr.,Sundhedsområdet,I alt
Botilbud i alt,0.00 kr.,0.00 kr.,0.00 kr.,0.00 kr.,0.00 kr.,Uddannelsesområdet,Kommune
Botilbud i alt,0.00 kr.,0.00 kr.,0.00 kr.,0.00 kr.,0.00 kr.,Uddannelsesområdet,Region
Botilbud i alt,3.159.00 kr.,2.783.00 kr.,3.364.00 kr.,3.215.00 kr.,3.100.00 kr.,Uddannelsesområdet,Stat
Botilbud i alt,3.159.00 kr.,2.783.00 kr.,3.364.00 kr.,3.215.00 kr.,3.100.00 kr.,Uddannelsesområdet,I alt
Længerevarende botilbud,3.015.967.00 kr.,2.997.049.00 kr.,3.012.602.00 kr.,2.996.692.00 kr.,3.009.740.00 kr.,I alt,I alt
Længerevarende botilbud,128.915.00 kr.,129.567.00 kr.,132.561.00 kr.,129.337.00 kr.,129.246.00 kr.,Beskæftigelsesområd,Kommune
Længerevarende botilbud,0.00 kr.,0.00 kr.,0.00 kr.,0.00 kr.,0.00 kr.,Beskæftigelsesområd,Region
Længerevarende botilbud,78.488.00 kr.,79.633.00 kr.,81.644.00 kr.,79.845.00 kr.,79.948.00 kr.,Beskæftigelsesområd,Stat
Længerevarende botilbud,207.402.00 kr.,209.200.00 kr.,214.205.00 kr.,209.183.00 kr.,209.194.00 kr.,Beskæftigelsesområd,I alt
Længerevarende botilbud,1.193.221.00 kr.,1.186.211.00 kr.,1.193.667.00 kr.,1.189.648.00 kr.,1.194.006.00 kr.,Socialområdet,Kommune
Længerevarende botilbud,0.00 kr.,0.00 kr.,0.00 kr.,0.00 kr.,0.00 kr.,Socialområdet,Region
Længerevarende botilbud,188.710.00 kr.,187.141.00 kr.,188.539.00 kr.,188.652.00 kr.,190.145.00 kr.,Socialområdet,Stat
Længerevarende botilbud,1.381.930.00 kr.,1.373.352.00 kr.,1.382.206.00 kr.,1.378.299.00 kr.,1.384.151.00 kr.,Socialområdet,I alt
Længerevarende botilbud,11.305.00 kr.,10.945.00 kr.,8.063.00 kr.,6.624.00 kr.,7.492.00 kr.,Sundhedsområdet,Kommune
Længerevarende botilbud,33.167.00 kr.,30.118.00 kr.,25.810.00 kr.,24.287.00 kr.,24.731.00 kr.,Sundhedsområdet,Region
Længerevarende botilbud,0.00 kr.,0.00 kr.,0.00 kr.,0.00 kr.,0.00 kr.,Sundhedsområdet,Stat
Længerevarende botilbud,44.472.00 kr.,41.062.00 kr.,33.873.00 kr.,30.912.00 kr.,32.222.00 kr.,Sundhedsområdet,I alt
Længerevarende botilbud,0.00 kr.,0.00 kr.,0.00 kr.,0.00 kr.,0.00 kr.,Uddannelsesområdet,Kommune
Længerevarende botilbud,0.00 kr.,0.00 kr.,0.00 kr.,0.00 kr.,0.00 kr.,Uddannelsesområdet,Region
Længerevarende botilbud,231.00 kr.,82.00 kr.,112.00 kr.,0.00 kr.,21.00 kr.,Uddannelsesområdet,Stat
Længerevarende botilbud,231.00 kr.,82.00 kr.,112.00 kr.,0.00 kr.,21.00 kr.,Uddannelsesområdet,I alt
Midlertidigt botilbud,1.842.335.00 kr.,1.814.779.00 kr.,1.795.074.00 kr.,1.794.229.00 kr.,1.831.542.00 kr.,I alt,I alt
Midlertidigt botilbud,123.760.00 kr.,122.157.00 kr.,119.581.00 kr.,116.002.00 kr.,116.616.00 kr.,Beskæftigelsesområd,Kommune
Midlertidigt botilbud,0.00 kr.,0.00 kr.,0.00 kr.,0.00 kr.,0.00 kr.,Beskæftigelsesområd,Region
Midlertidigt botilbud,50.374.00 kr.,51.017.00 kr.,51.939.00 kr.,51.432.00 kr.,52.389.00 kr.,Beskæftigelsesområd,Stat
Midlertidigt botilbud,174.133.00 kr.,173.173.00 kr.,171.520.00 kr.,167.435.00 kr.,169.006.00 kr.,Beskæftigelsesområd,I alt
Midlertidigt botilbud,723.925.00 kr.,715.511.00 kr.,709.038.00 kr.,708.088.00 kr.,724.561.00 kr.,Socialområdet,Kommune
Midlertidigt botilbud,0.00 kr.,0.00 kr.,0.00 kr.,0.00 kr.,0.00 kr.,Socialområdet,Region
Midlertidigt botilbud,77.906.00 kr.,76.592.00 kr.,75.796.00 kr.,76.256.00 kr.,77.861.00 kr.,Socialområdet,Stat
