Målgruppe,Kommune,Alder,2018,2019,2020,2021,2022,,
Børn og unge med autisme,Aalborg,Alder i alt,457,549,571,622,693,,
Børn og unge med autisme,Aalborg,0-5 år,17,18,20,18,28,,
Børn og unge med autisme,Aalborg,6-11 år,132,175,163,164,178,,
Børn og unge med autisme,Aalborg,12-17 år,308,356,388,440,487,,
Børn og unge med autisme,Aarhus,Alder i alt,1042,1101,1162,1270,1331,,
Børn og unge med autisme,Aarhus,0-5 år,91,94,90,93,100,,
Børn og unge med autisme,Aarhus,6-11 år,420,444,459,464,466,,
Børn og unge med autisme,Aarhus,12-17 år,531,563,613,713,765,,
Børn og unge med autisme,Albertslund,Alder i alt,144,162,166,174,180,,
Børn og unge med autisme,Albertslund,0-5 år,13,18,21,22,17,,
Børn og unge med autisme,Albertslund,6-11 år,42,54,52,51,55,,
Børn og unge med autisme,Albertslund,12-17 år,89,90,93,101,108,,
Børn og unge med autisme,Allerød,Alder i alt,113,122,131,146,159,,
Børn og unge med autisme,Allerød,0-5 år,9,9,8,12,7,,
Børn og unge med autisme,Allerød,6-11 år,39,40,42,40,42,,
Børn og unge med autisme,Allerød,12-17 år,65,73,81,94,110,,
Børn og unge med autisme,Assens,Alder i alt,42,40,40,37,47,,
Børn og unge med autisme,Assens,0-5 år,*,*,*,*,*,,
Børn og unge med autisme,Assens,6-11 år,*,*,*,*,*,,
Børn og unge med autisme,Assens,12-17 år,30,29,26,23,32,,
Børn og unge med autisme,Ballerup,Alder i alt,226,236,244,253,290,,
Børn og unge med autisme,Ballerup,0-5 år,9,9,14,16,22,,
Børn og unge med autisme,Ballerup,6-11 år,60,59,57,62,82,,
Børn og unge med autisme,Ballerup,12-17 år,157,168,173,175,186,,
Børn og unge med autisme,Ærø,0-5 år,*,*,*,*,*,,
Børn og unge med autisme,Ærø,6-11 år,*,*,*,*,*,,
Børn og unge med autisme,Ærø,12-17 år,*,*,*,*,*,,
Børn og unge med autisme,Ærø,Alder i alt,*,*,*,*,*,,
Børn og unge med autisme,Billund,Alder i alt,79,86,95,105,113,,
Børn og unge med autisme,Billund,0-5 år,*,*,*,*,*,,
Børn og unge med autisme,Billund,6-11 år,*,*,*,*,*,,
Børn og unge med autisme,Billund,12-17 år,47,57,62,67,80,,
Børn og unge med autisme,Bornholm,Alder i alt,142,129,115,117,145,,
Børn og unge med autisme,Bornholm,0-5 år,*,*,*,*,*,,
Børn og unge med autisme,Bornholm,6-11 år,*,*,*,*,*,,
Børn og unge med autisme,Bornholm,12-17 år,107,95,85,90,107,,
Børn og unge med autisme,Brøndby,Alder i alt,178,189,206,220,233,,
Børn og unge med autisme,Brøndby,0-5 år,23,20,23,26,23,,
Børn og unge med autisme,Brøndby,6-11 år,73,78,84,84,94,,
Børn og unge med autisme,Brøndby,12-17 år,82,91,99,110,116,,
Børn og unge med autisme,Brønderslev,Alder i alt,98,116,104,123,160,,
Børn og unge med autisme,Brønderslev,0-5 år,*,*,*,*,*,,
Børn og unge med autisme,Brønderslev,6-11 år,*,*,*,*,*,,
Børn og unge med autisme,Brønderslev,12-17 år,64,81,76,90,117,,
Børn og unge med autisme,Dragør,Alder i alt,38,38,43,49,55,,
Børn og unge med autisme,Dragør,0-5 år,*,*,*,*,*,,
Børn og unge med autisme,Dragør,6-11 år,*,*,*,*,*,,
Børn og unge med autisme,Dragør,12-17 år,*,*,*,*,*,,
Børn og unge med autisme,Egedal,Alder i alt,265,296,313,324,336,,
Børn og unge med autisme,Egedal,0-5 år,16,17,11,17,12,,
Børn og unge med autisme,Egedal,6-11 år,84,92,107,105,103,,
Børn og unge med autisme,Egedal,12-17 år,165,187,195,202,221,,
Børn og unge med autisme,Esbjerg,Alder i alt,279,268,288,308,350,,
Børn og unge med autisme,Esbjerg,0-5 år,16,5,9,11,17,,
Børn og unge med autisme,Esbjerg,6-11 år,101,94,97,93,101,,
Børn og unge med autisme,Esbjerg,12-17 år,162,169,182,204,232,,
Børn og unge med autisme,Faaborg-Midtfyn,Alder i alt,66,59,66,73,75,,
Børn og unge med autisme,Faaborg-Midtfyn,0-5 år,4,3,5,5,7,,
Børn og unge med autisme,Faaborg-Midtfyn,6-11 år,18,16,15,17,20,,
Børn og unge med autisme,Faaborg-Midtfyn,12-17 år,44,40,46,51,48,,
Børn og unge med autisme,Fanø,Alder i alt,*,*,*,*,*,,
Børn og unge med autisme,Fanø,0-5 år,*,*,*,*,*,,
Børn og unge med autisme,Fanø,6-11 år,*,*,*,*,*,,
Børn og unge med autisme,Fanø,12-17 år,*,*,*,*,*,,
Børn og unge med autisme,Favrskov,Alder i alt,224,263,299,333,323,,
Børn og unge med autisme,Favrskov,0-5 år,17,14,9,13,11,,
Børn og unge med autisme,Favrskov,6-11 år,83,98,109,118,107,,
Børn og unge med autisme,Favrskov,12-17 år,124,151,181,202,205,,
Børn og unge med autisme,Faxe,Alder i alt,116,137,164,175,168,,
Børn og unge med autisme,Faxe,0-5 år,3,3,9,8,11,,
Børn og unge med autisme,Faxe,6-11 år,35,43,45,52,48,,
Børn og unge med autisme,Faxe,12-17 år,78,91,110,115,109,,
Børn og unge med autisme,Fredensborg,Alder i alt,136,137,138,151,205,,
Børn og unge med autisme,Fredensborg,0-5 år,8,5,*,6,8,,
Børn og unge med autisme,Fredensborg,6-11 år,35,39,*,41,57,,
Børn og unge med autisme,Fredensborg,12-17 år,93,93,98,104,140,,
Børn og unge med autisme,Fredericia,Alder i alt,174,170,165,168,162,,
Børn og unge med autisme,Fredericia,0-5 år,4,3,*,6,5,,
Børn og unge med autisme,Fredericia,6-11 år,51,43,*,34,33,,
Børn og unge med autisme,Fredericia,12-17 år,119,124,127,128,124,,
Børn og unge med autisme,Frederiksberg,Alder i alt,272,280,279,283,282,,
Børn og unge med autisme,Frederiksberg,0-5 år,14,13,17,17,14,,
Børn og unge med autisme,Frederiksberg,6-11 år,89,82,84,79,84,,
Børn og unge med autisme,Frederiksberg,12-17 år,169,185,178,187,184,,
Børn og unge med autisme,Frederikshavn,Alder i alt,127,128,120,127,155,,
Børn og unge med autisme,Frederikshavn,0-5 år,5,3,4,*,3,,
Børn og unge med autisme,Frederikshavn,6-11 år,34,34,29,*,47,,
Børn og unge med autisme,Frederikshavn,12-17 år,88,91,87,91,105,,
Børn og unge med autisme,Frederikssund,Alder i alt,202,221,219,232,266,,
Børn og unge med autisme,Frederikssund,0-5 år,8,11,6,10,11,,
Børn og unge med autisme,Frederikssund,6-11 år,69,68,73,68,76,,
Børn og unge med autisme,Frederikssund,12-17 år,125,142,140,154,179,,
Børn og unge med autisme,Furesø,Alder i alt,220,246,258,257,281,,
Børn og unge med autisme,Furesø,0-5 år,12,18,13,12,14,,
Børn og unge med autisme,Furesø,6-11 år,86,96,105,100,106,,
Børn og unge med autisme,Furesø,12-17 år,122,132,140,145,161,,
Børn og unge med autisme,Gentofte,Alder i alt,233,265,279,303,323,,
Børn og unge med autisme,Gentofte,0-5 år,14,17,25,28,30,,
Børn og unge med autisme,Gentofte,6-11 år,92,92,89,93,88,,
Børn og unge med autisme,Gentofte,12-17 år,127,156,165,182,205,,
Børn og unge med autisme,Gladsaxe,Alder i alt,254,283,302,303,343,,
Børn og unge med autisme,Gladsaxe,0-5 år,15,17,22,23,33,,
Børn og unge med autisme,Gladsaxe,6-11 år,99,114,109,97,98,,
Børn og unge med autisme,Gladsaxe,12-17 år,140,152,171,183,212,,
Børn og unge med autisme,Glostrup,Alder i alt,112,113,112,112,126,,
Børn og unge med autisme,Glostrup,0-5 år,5,5,8,6,10,,
Børn og unge med autisme,Glostrup,6-11 år,29,35,30,35,36,,
Børn og unge med autisme,Glostrup,12-17 år,78,73,74,71,80,,
Børn og unge med autisme,Greve,Alder i alt,337,339,337,354,346,,
Børn og unge med autisme,Greve,0-5 år,19,14,13,19,11,,
Børn og unge med autisme,Greve,6-11 år,110,109,112,106,109,,
Børn og unge med autisme,Greve,12-17 år,208,216,212,229,226,,
Børn og unge med autisme,Gribskov,Alder i alt,166,189,193,211,243,,
Børn og unge med autisme,Gribskov,0-5 år,5,11,11,13,14,,
Børn og unge med autisme,Gribskov,6-11 år,55,56,56,69,79,,
Børn og unge med autisme,Gribskov,12-17 år,106,122,126,129,150,,
Børn og unge med autisme,Guldborgsund,Alder i alt,156,160,158,168,160,,
Børn og unge med autisme,Guldborgsund,0-5 år,*,*,*,*,*,,
Børn og unge med autisme,Guldborgsund,6-11 år,*,*,*,*,*,,
