Målgruppe,Kommune,Alder,2018,2019,2020,2021,2022
Voksne med autisme,Ærø,Alder i alt,*,*,*,*,*
Voksne med autisme,Ærø,18-22 år,*,*,*,*,*
Voksne med autisme,Ærø,23-30 år,*,*,*,*,*
Voksne med autisme,Ærø,31-40 år,*,*,*,*,*
Voksne med autisme,Ærø,41-50 år,*,*,*,*,*
Voksne med autisme,Ærø,51-65 år,*,*,*,*,*
Voksne med autisme,Ærø,18-30 år,*,*,*,*,*
Voksne med autisme,Ærø,31-65 år,*,*,*,*,*
Voksne med autisme,Billund,31-40 år,*,*,*,*,*
Voksne med autisme,Billund,41-50 år,*,*,*,*,*
Voksne med autisme,Billund,51-65 år,*,*,*,*,*
Voksne med autisme,Dragør,31-40 år,*,*,*,*,*
Voksne med autisme,Dragør,41-50 år,*,*,*,*,*
Voksne med autisme,Dragør,51-65 år,*,*,*,*,*
Voksne med autisme,Fanø,Alder i alt,*,*,*,*,*
Voksne med autisme,Fanø,18-22 år,*,*,*,*,*
Voksne med autisme,Fanø,23-30 år,*,*,*,*,*
Voksne med autisme,Fanø,31-40 år,*,*,*,*,*
Voksne med autisme,Fanø,41-50 år,*,*,*,*,*
Voksne med autisme,Fanø,51-65 år,*,*,*,*,*
Voksne med autisme,Fanø,18-30 år,*,*,*,*,*
Voksne med autisme,Fanø,31-65 år,*,*,*,*,*
Voksne med autisme,Hørsholm,31-40 år,*,*,*,*,*
Voksne med autisme,Hørsholm,41-50 år,*,*,*,*,*
Voksne med autisme,Hørsholm,51-65 år,*,*,*,*,*
Voksne med autisme,Ishøj,41-50 år,*,*,*,*,*
Voksne med autisme,Ishøj,51-65 år,*,*,*,*,*
Voksne med autisme,Læsø,Alder i alt,*,*,*,*,*
Voksne med autisme,Læsø,18-22 år,*,*,*,*,*
Voksne med autisme,Læsø,23-30 år,*,*,*,*,*
Voksne med autisme,Læsø,31-40 år,*,*,*,*,*
Voksne med autisme,Læsø,41-50 år,*,*,*,*,*
Voksne med autisme,Læsø,51-65 år,*,*,*,*,*
Voksne med autisme,Læsø,18-30 år,*,*,*,*,*
Voksne med autisme,Læsø,31-65 år,*,*,*,*,*
Voksne med autisme,Langeland,31-40 år,*,*,*,*,*
Voksne med autisme,Langeland,41-50 år,*,*,*,*,*
Voksne med autisme,Lejre,31-40 år,*,*,*,*,*
Voksne med autisme,Lejre,41-50 år,*,*,*,*,*
Voksne med autisme,Lejre,51-65 år,*,*,*,*,*
Voksne med autisme,Odder,31-40 år,*,*,*,*,*
Voksne med autisme,Odder,41-50 år,*,*,*,*,*
Voksne med autisme,Odder,51-65 år,*,*,*,*,*
Voksne med autisme,Rebild,31-40 år,*,*,*,*,*
Voksne med autisme,Rebild,51-65 år,*,*,*,*,*
Voksne med autisme,Samsø,18-22 år,*,*,*,*,*
Voksne med autisme,Samsø,23-30 år,*,*,*,*,*
Voksne med autisme,Samsø,31-40 år,*,*,*,*,*
Voksne med autisme,Samsø,41-50 år,*,*,*,*,*
Voksne med autisme,Samsø,51-65 år,*,*,*,*,*
Voksne med autisme,Samsø,18-30 år,*,*,*,*,*
Voksne med autisme,Samsø,31-65 år,*,*,*,*,*
Voksne med autisme,Samsø,Alder i alt,*,*,*,*,*
Voksne med autisme,Solrød,41-50 år,*,*,*,*,*
Voksne med autisme,Solrød,51-65 år,*,*,*,*,*
Voksne med autisme,Stevns,31-40 år,*,*,*,*,*
Voksne med autisme,Stevns,41-50 år,*,*,*,*,*
Voksne med autisme,Stevns,51-65 år,*,*,*,*,*
Voksne med autisme,Vallensbæk,31-40 år,*,*,*,*,*
Voksne med autisme,Vallensbæk,41-50 år,*,*,*,*,*
Voksne med autisme,Vallensbæk,51-65 år,*,*,*,*,*
Voksne med autisme,Hele landet,Alder i alt,24732,28322,31984,36125,40610
Voksne med autisme,Hele landet,18-30 år,19033,21559,24062,26797,29662
Voksne med autisme,Hele landet,23-30 år,9005,10455,12043,13643,15372
Voksne med autisme,Hele landet,18-22 år,10028,11104,12019,13154,14290
Voksne med autisme,Hele landet,31-65 år,5699,6763,7922,9328,10948
Voksne med autisme,Hele landet,31-40 år,3292,3991,4778,5774,6953
Voksne med autisme,København,Alder i alt,2561,3051,3530,4083,4613
Voksne med autisme,København,18-30 år,2012,2399,2738,3143,3480
Voksne med autisme,Aarhus,Alder i alt,1483,1718,1909,2168,2447
Voksne med autisme,Hele landet,41-50 år,1461,1683,1896,2145,2414
Voksne med autisme,Aalborg,Alder i alt,1385,1617,1852,2088,2320
Voksne med autisme,København,23-30 år,956,1162,1418,1657,1931
Voksne med autisme,Aarhus,18-30 år,1129,1313,1448,1629,1797
