Adresse,City,Link,Type,Størrelse,Pris,Pris_m2,latitude,longitude,kommune
Christian X's Vej 2,6100 Haderslev,https://www.ejendomstorvet.dk/koeb/sydjylland/haderslev/detailhandel-butik/561e3d79-4097-4cb8-8ec0-0fc72e04c873,"Detailhandel & butik, salg",996 m²,9.150.000 kr.,9.186 kr./m²,56.136015,10.175321,Aarhus Kommune
Dammen 2,6330 Padborg,https://www.ejendomstorvet.dk/koeb/sydjylland/aabenraa/detailhandel-butik/f4112e69-dbbe-410a-9a4d-868f4a2f57fe,"Detailhandel & butik, salg",890 m²,6.995.000 kr.,7.859 kr./m²,56.266598,10.208196,Aarhus Kommune
Bryggergade 3A,7400 Herning,https://www.ejendomstorvet.dk/koeb/vestjylland/herning/detailhandel-butik/87315401-7847-4a60-af4f-bde88a029559,"Detailhandel & butik, salg",247 m²,3.200.000 kr.,12.955 kr./m²,56.13574,8.973521,Herning Kommune
Svalehøjvej 9A,3650 Ølstykke,https://www.ejendomstorvet.dk/koeb/nordsjaelland/egedal/lager-produktion/480b958b-2611-4ff8-938d-53e7d600faa0,"Lager & produktion, salg",1.027 m²,10.000.000 kr.,9.737 kr./m²,55.767401,12.137776,Egedal Kommune
Pingels Alle 31,3700 Rønne,https://www.ejendomstorvet.dk/koeb/bornholm/bornholm/grunde/de728a50-b38a-4608-966e-887f522aef36,"Grunde, salg",12.234 m²,2.500.000 kr.,0 kr./m²,55.100365,14.707927,Bornholms Regionskommune
Vestre Strandvej 7,9990 Skagen,https://www.ejendomstorvet.dk/koeb/nordjylland/frederikshavn/andre-typer/69fcdbc3-1f80-47e6-afaf-23ffb30bf792,"Andre typer, salg",88 m²,800.000 kr.,9.090 kr./m²,55.466516,8.576017,Esbjerg Kommune
Barrit Langgade 105,7150 Barrit,https://www.ejendomstorvet.dk/koeb/oestjylland/hedensted/lager-produktion/b1be79d1-bb6d-4578-9220-bf232cd0b7a8,"Lager & produktion, salg",2.580 m²,3.975.000 kr.,1.540 kr./m²,55.711761,9.892293,Hedensted Kommune
Østergade 2,7400 Herning,https://www.ejendomstorvet.dk/koeb/vestjylland/herning/detailhandel-butik/1d8a5c0c-4279-42a5-a726-581471c3b3ee,"Detailhandel & butik, salg",3.374 m²,27.800.000 kr.,8.239 kr./m²,56.154497,10.204363,Aarhus Kommune
Barrit Langgade 102B,7150 Barrit,https://www.ejendomstorvet.dk/koeb/oestjylland/hedensted/lager-produktion/c8843c19-8a43-4179-96ee-82b73e69770d,"Lager & produktion, salg",919 m²,1.250.000 kr.,1.360 kr./m²,55.711411,9.891731,Hedensted Kommune
Silkeborgvej 344,8700 Horsens,https://www.ejendomstorvet.dk/koeb/oestjylland/horsens/lager-produktion/231a2f58-0854-47b2-8718-2a2647da8ebc,"Lager & produktion, salg",1.063 m²,4.500.000 kr.,4.233 kr./m²,55.909539,9.721211,Horsens Kommune
Stenhusvej 49,4300 Holbæk,https://www.ejendomstorvet.dk/koeb/vest-og-sydsjaelland/holbaek/lager-produktion/31c7aebb-2a86-488a-a291-239507353424,"Lager & produktion, salg",1.072 m²,7.995.000 kr.,7.458 kr./m²,55.70009,11.673915,Holbæk Kommune
Nørumvej 79,9800 Hjørring,https://www.ejendomstorvet.dk/koeb/nordjylland/hjoerring/hotel-restaurant/1874ec50-f5b7-4db8-b248-948b2db5428b,"Hotel & restaurant, salg",968 m²,5.995.000 kr.,6.193 kr./m²,57.464039,9.893487,Hjørring Kommune
Hedegårdsvej 14,7430 Ikast,https://www.ejendomstorvet.dk/koeb/vestjylland/ikast-brande/andre-typer/2a1d18de-f4f7-440d-971d-c899fd856ebb,"Andre typer, salg",849 m²,5.995.000 kr.,7.061 kr./m²,55.638946,12.098245,Roskilde Kommune
Nystedvej 1,7400 Herning,https://www.ejendomstorvet.dk/koeb/vestjylland/herning/lager-produktion/cfd52d02-4ab2-4ade-bab8-b558449bfaa6,"Lager & produktion, salg",2.140 m²,8.900.000 kr.,4.158 kr./m²,55.669102,12.493228,Københavns Kommune
Industriholmen 7,2650 Hvidovre,https://www.ejendomstorvet.dk/koeb/koebenhavns-omegn/hvidovre/lager-produktion/54a6efa1-9cb4-4991-9d73-3869735d102a,"Lager & produktion, salg",1.157 m²,13.000.000 kr.,11.235 kr./m²,55.61156,12.476785,Hvidovre Kommune
Industrivej 8,4160 Herlufmagle,https://www.ejendomstorvet.dk/koeb/vest-og-sydsjaelland/naestved/lager-produktion/5bedd768-2552-49d3-bb83-fdd8edc8453f,"Lager & produktion, salg",571 m²,495.000 kr.,866 kr./m²,56.11122,10.132007,Aarhus Kommune
Arresøvej 9,8240 Risskov,https://www.ejendomstorvet.dk/koeb/oestjylland/aarhus/detailhandel-butik/177a2f34-6ad0-474a-a8f1-704458cb5906,"Detailhandel & butik, salg",424 m²,8.500.000 kr.,20.047 kr./m²,55.935662,12.099362,Hillerød Kommune
"Banesporet 6, m.fl.",8930 Randers NØ,https://www.ejendomstorvet.dk/koeb/oestjylland/randers/grunde/6bea936a-aa8b-4209-8e3e-1dba77e64ddb,"Grunde, salg",32.261 m²,40.800.000 kr.,0 kr./m²,,,
Pederstrupvej 120C,4943 Torrig L,https://www.ejendomstorvet.dk/koeb/vest-og-sydsjaelland/lolland/hotel-restaurant/0ad83423-03e1-4e05-8aee-e69982dc6d43,"Hotel & restaurant, salg",2.283 m²,7.000.000 kr.,3.066 kr./m²,54.897733,11.261545,Lolland Kommune
