Navn,Adresse,Latitude,Longitude,Kontaktperson,Tilsynsstatus,Takster,Tilbudstyper,Pladser,Kapacitet
"Bjergbo Hus B, C og D (Bjergbo)","Fjordlystvej 4
  

  7700 Thisted",56.9572113,8.712952,"Ane Kirk

  24837894","Godkendt
  08-01-2025",Fra 1.877 - 3.362 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","23 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","23 pladser -
  ingen ledige"
Bofællesskabet Højtoftevej 64,"Højtoftevej 64
  

  7700 Thisted",56.9619637,8.7016049,"Anna-Grethe Sand

  21475160","Godkendt
  15-04-2025",Fra 774 - 1.183 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","9 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","9 pladser -
  ingen ledige"
Bofællesskabet Åbanken (Bofællesskaberne i Lejre kommune),"Præstegårdsvej 3E
  

  4330 Hvalsø",55.5936715,11.8643449,"Michael Preben Jørgensen

  21787672","Godkendt
  30-04-2024",Fra 991 - 991 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","4 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","4 pladser -
  Kontakt afdelingen om ledige pladser"
Boligfællesskabet Bjerggade 50 (Midtbyens Botilbud),"Bjerggade 50
  

  7600 Struer",56.4931101,8.5847257,"Bo Bakbo-Carlsen

  96848900","Godkendt
  02-09-2024",Fra 775 - 5.409 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","12 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","12 pladser -
  ingen ledige"
Botilbuddet Røbo (Bornholms Regionskommune Røbo),"Rø Skolevej 8
  

  3760 Gudhjem",55.211653,14.890381,"Marie Jakobsen

  22881309","Godkendt
  05-08-2024",Fra 1.699 - 3.211 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","16 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","16 pladser -
  Kontakt afdelingen om ledige pladser"
Botilbuddet Vinkelvej,"Vinkelvej 4
  

  9620 Aalestrup",56.6935886,9.4917878,"Mari-Ann Jürs Pedersen

  20332762","Godkendt
  06-08-2024",Fra 1.795 - 3.437 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","16 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","16 pladser -
  Kontakt afdelingen om ledige pladser"
Døgn Voksne (Specialskolen Bramsnæsvigs Døgn og Aflastningstilbud ApS),"Bramsnæsvigvej 2
  

  4070 Kirke Hyllinge",55.6904928,11.8397921,"Janni Jensen

  61725126","Godkendt
  08-04-2025","Fra 4.892,6 - 5.875,61 kr.","Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
  
  
  
  Botilbud til midlertidige ophold, § 107
  
  
  
  Botilbud målrettet unge mellem 18 og 35 år, §108a, jf. §108","1 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
  
  
  
  0 - Botilbud til midlertidige ophold, § 107
  
  
  
  1 - Botilbud målrettet unge mellem 18 og 35 år, §108a, jf. §108","1 pladser -
  ingen ledige"
Gruppe 4 (Botilbud Handicap Elbæk),"Elbæktoften 9
  

  8370 Hadsten",56.3356007,10.0597865,"Ina Schelander

  21162297","Godkendt
  06-12-2024",Fra 812 - 12.257 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","9 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","9 pladser -
  ingen ledige"
Handicap basistilbud - Stadionkollegiet,"Stadion Alle 5, 2. 
  

  8800 Viborg",56.456701,9.401179,"Maiken Søgaard

  20223167","Godkendt
  13-02-2024",Fra 786 - 1.945 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","25 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","25 pladser -
  ingen ledige"
Heragården,"Koustrup Alle 15B
  

  7400 Herning",56.1108772,8.9983455,"Daniel Laugesen

  96273100","Godkendt
  17-03-2025","Fra 1.060,85 - 1.484,42 kr.","Botilbud målrettet unge mellem 18 og 35 år, §108a, jf. §108
  
  
  
  Botilbud til midlertidige ophold, § 107","1 - Botilbud målrettet unge mellem 18 og 35 år, §108a, jf. §108
  
  
  
  13 - Botilbud til midlertidige ophold, § 107","1 pladser -
  Kontakt afdelingen om ledige pladser"
Kellersvej 6ABD (Kellersvej 6),"Kellersvej 6A
  

  2860 Søborg",55.7544086,12.4964058,"Lea Isaksen

  39573336","Godkendt
  20-01-2025",Fra 2.280 - 6.548 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","18 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","18 pladser -
  Kontakt afdelingen om ledige pladser"
Kellersvej 6C (Kellersvej 6),"Kellersvej 6A
  

  2860 Søborg",55.7544086,12.4964058,"Lea Isaksen

  39573336","Godkendt
  20-01-2025",Fra 4.996 - 6.548 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","6 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","6 pladser -
  Kontakt afdelingen om ledige pladser"
NordCare,"Tylstrup Landevej 86
  

  9382 Tylstrup",57.2061516,9.963738,"Morten Geisnæs

  20663171","Godkendt
  05-09-2024","Fra 2.575,8 - 2.575,8 kr.","Botilbud målrettet unge mellem 18 og 35 år, §108a, jf. §108
  
  
  
  Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
  
  
  
  Botilbud til midlertidige ophold, § 107","2 - Botilbud målrettet unge mellem 18 og 35 år, §108a, jf. §108
  
  
  
  1 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
  
  
  
  1 - Botilbud til midlertidige ophold, § 107","1 pladser -
  Kontakt afdelingen om ledige pladser"
Roligheden Syd - Marsvænget (Roligheden Syd),"Marsvænget 28
  

  7000 Fredericia",55.564604,9.7164546,"Kennet Kjestrup

  +4526240246","Godkendt
  19-02-2025","Fra 0 - 15.836,4 kr.","Botilbud til midlertidige ophold, § 107
  
  
  
  Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
  
  
  
  Aktivitets- og samværstilbud, § 104
  
  
  
  Botilbud målrettet unge mellem 18 og 35 år, §108a, jf. §108","2 - Botilbud til midlertidige ophold, § 107
  
  
  
  4 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
  
  
  
  4 - Aktivitets- og samværstilbud, § 104
  
  
  
  2 - Botilbud målrettet unge mellem 18 og 35 år, §108a, jf. §108","4 pladser -
  Kontakt afdelingen om ledige pladser
  
  
  
  Heraf er 4 pladser forbeholdt beboere på botilbuddet"
Tinnetgaard (Tinnetgaard Bo-og Erhvervsskole),"Hammervej 28
  

  7173 Vonge",55.8984473,9.401629400000001,"Brian Hansen

  27522948","Godkendt
  26-07-2022","Fra 958,03 - 2.067,29 kr.","Botilbudslignende tilbud, Lejebolig, Lejeloven
  
  
  
  Botilbud målrettet unge mellem 18 og 35 år, §108a, jf. §108
  
  
  
  Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
  
  
  
  Botilbud til midlertidige ophold, § 107","3 - Botilbudslignende tilbud, Lejebolig, Lejeloven
  
  
  
  0 - Botilbud målrettet unge mellem 18 og 35 år, §108a, jf. §108
  
  
  
  0 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
  
  
  
  13 - Botilbud til midlertidige ophold, § 107","0 pladser -
  Kontakt afdelingen om ledige pladser"
Træningslejlighederne (Tinnetgaard Bo-og Erhvervsskole),"Hammervej 28
  

  7173 Vonge",55.8984473,9.401629400000001,"Brian Hansen

  27522948","Godkendt
  26-07-2022","Fra 958,03 - 958,03 kr.","Botilbud til midlertidige ophold, § 107
  
  
  
  Botilbud målrettet unge mellem 18 og 35 år, §108a, jf. §108","4 - Botilbud til midlertidige ophold, § 107
  
  
  
  0 - Botilbud målrettet unge mellem 18 og 35 år, §108a, jf. §108","4 pladser -
  ingen ledige"
Vesterbo,"Vestergade 144
  

  8600 Silkeborg",56.1648307,9.5295563,"Maja Bollerup

  24918159","Godkendt
  12-12-2024",Fra 762 - 1.662 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","32 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","32 pladser -
  ingen ledige"
Vongegaard (Tinnetgaard Bo-og Erhvervsskole),"Hammervej 28
  

  7173 Vonge",55.8984473,9.401629400000001,"Brian Hansen

  27522948","Godkendt
  26-07-2022","Fra 0 - 958,03 kr.","Botilbud målrettet unge mellem 18 og 35 år, §108a, jf. §108
  
  
  
  Botilbud til midlertidige ophold, § 107","0 - Botilbud målrettet unge mellem 18 og 35 år, §108a, jf. §108
  
  
  
  15 - Botilbud til midlertidige ophold, § 107","15 pladser -
  ingen ledige"
Æblevej 1,"Æblevej 1
  

  6240 Løgumkloster",55.0834133,8.9356288,"Marianne Styrk

  29432494","Godkendt
  01-10-2024",Fra 1.944 - 3.508 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","12 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","12 pladser -
  ingen ledige"
